seed,metric,frac_overlap,metric_tinycodes
0,cycle_knn,0.0,0.856200
0,mutual_knn,0.0,0.929150
0,lcs_knn,0.0,1.833800
0,cka,0.0,0.998977
0,unbiased_cka,0.0,0.998372
0,cknna,0.0,0.921901
0,svcca,0.0,0.840433
0,edit_distance_knn,0.0,0.896590
0,cycle_knn,0.2,0.856700
0,mutual_knn,0.2,0.930270
0,lcs_knn,0.2,1.858600
0,cka,0.2,0.998969
0,unbiased_cka,0.2,0.998418
0,cknna,0.2,0.926956
0,svcca,0.2,0.822922
0,edit_distance_knn,0.2,0.899430
0,cycle_knn,0.4,0.853100
0,mutual_knn,0.4,0.932370
0,lcs_knn,0.4,1.853300
0,cka,0.4,0.999009
0,unbiased_cka,0.4,0.998314
0,cknna,0.4,0.925101
0,svcca,0.4,0.843352
0,edit_distance_knn,0.4,0.898670
0,cycle_knn,0.6,0.857400
0,mutual_knn,0.6,0.930040
0,lcs_knn,0.6,1.845900
0,cka,0.6,0.998966
0,unbiased_cka,0.6,0.998323
0,cknna,0.6,0.925572
0,svcca,0.6,0.829476
0,edit_distance_knn,0.6,0.897770
0,cycle_knn,0.8,0.861900
0,mutual_knn,0.8,0.929650
0,lcs_knn,0.8,1.850800
0,cka,0.8,0.999020
0,unbiased_cka,0.8,0.998328
0,cknna,0.8,0.928504
0,svcca,0.8,0.830438
0,edit_distance_knn,0.8,0.898950
0,cycle_knn,1.0,0.856300
0,mutual_knn,1.0,0.930880
0,lcs_knn,1.0,1.852400
0,cka,1.0,0.999003
0,unbiased_cka,1.0,0.998351
0,cknna,1.0,0.924152
0,svcca,1.0,0.855378
0,edit_distance_knn,1.0,0.898630
1,cycle_knn,0.0,0.858400
1,mutual_knn,0.0,0.929940
1,lcs_knn,0.0,1.847600
1,cka,0.0,0.998974
1,unbiased_cka,0.0,0.998288
1,cknna,0.0,0.926952
1,svcca,0.0,0.833288
1,edit_distance_knn,0.0,0.898050
1,cycle_knn,0.2,0.863300
1,mutual_knn,0.2,0.930390
1,lcs_knn,0.2,1.852800
1,cka,0.2,0.998959
1,unbiased_cka,0.2,0.998363
1,cknna,0.2,0.925546
1,svcca,0.2,0.822449
1,edit_distance_knn,0.2,0.899440
1,cycle_knn,0.4,0.856600
1,mutual_knn,0.4,0.930820
1,lcs_knn,0.4,1.859100
1,cka,0.4,0.998989
1,unbiased_cka,0.4,0.998456
1,cknna,0.4,0.925649
1,svcca,0.4,0.870447
1,edit_distance_knn,0.4,0.899610
1,cycle_knn,0.6,0.855300
1,mutual_knn,0.6,0.929450
1,lcs_knn,0.6,1.847500
1,cka,0.6,0.999063
1,unbiased_cka,0.6,0.998374
1,cknna,0.6,0.924156
1,svcca,0.6,0.852303
1,edit_distance_knn,0.6,0.898100
1,cycle_knn,0.8,0.852400
1,mutual_knn,0.8,0.928610
1,lcs_knn,0.8,1.843500
1,cka,0.8,0.998835
1,unbiased_cka,0.8,0.998211
1,cknna,0.8,0.922561
1,svcca,0.8,0.823431
1,edit_distance_knn,0.8,0.897260
1,cycle_knn,1.0,0.859300
1,mutual_knn,1.0,0.928860
1,lcs_knn,1.0,1.841600
1,cka,1.0,0.998875
1,unbiased_cka,1.0,0.998293
1,cknna,1.0,0.922735
1,svcca,1.0,0.834552
1,edit_distance_knn,1.0,0.897380
2,cycle_knn,0.0,0.861400
2,mutual_knn,0.0,0.929810
2,lcs_knn,0.0,1.846100
2,cka,0.0,0.999053
2,unbiased_cka,0.0,0.998391
2,cknna,0.0,0.921771
2,svcca,0.0,0.856772
2,edit_distance_knn,0.0,0.898000
2,cycle_knn,0.2,0.864500
2,mutual_knn,0.2,0.929650
2,lcs_knn,0.2,1.852600
2,cka,0.2,0.998936
2,unbiased_cka,0.2,0.998318
2,cknna,0.2,0.924040
2,svcca,0.2,0.848320
2,edit_distance_knn,0.2,0.898360
2,cycle_knn,0.4,0.865300
2,mutual_knn,0.4,0.930320
2,lcs_knn,0.4,1.856400
2,cka,0.4,0.998850
2,unbiased_cka,0.4,0.998220
2,cknna,0.4,0.924882
2,svcca,0.4,0.818077
2,edit_distance_knn,0.4,0.899260
2,cycle_knn,0.6,0.857400
2,mutual_knn,0.6,0.929350
2,lcs_knn,0.6,1.848100
2,cka,0.6,0.998497
2,unbiased_cka,0.6,0.997806
2,cknna,0.6,0.923205
2,svcca,0.6,0.832500
2,edit_distance_knn,0.6,0.898000
2,cycle_knn,0.8,0.856400
2,mutual_knn,0.8,0.931350
2,lcs_knn,0.8,1.853400
2,cka,0.8,0.999074
2,unbiased_cka,0.8,0.998366
2,cknna,0.8,0.922482
