seed,metric,frac_overlap,metric_tinycodes
2,svcca,0.8,0.834651
2,edit_distance_knn,0.8,0.898060
2,cycle_knn,1.0,0.854300
2,mutual_knn,1.0,0.925200
2,lcs_knn,1.0,1.839300
2,cka,1.0,0.998890
2,unbiased_cka,1.0,0.998350
2,cknna,1.0,0.920644
2,svcca,1.0,0.890756
2,edit_distance_knn,1.0,0.897760
3,cycle_knn,0.0,0.858900
3,mutual_knn,0.0,0.926410
3,lcs_knn,0.0,1.840200
3,cka,0.0,0.998971
3,unbiased_cka,0.0,0.998431
3,cknna,0.0,0.918516
3,svcca,0.0,0.837536
3,edit_distance_knn,0.0,0.897020
3,cycle_knn,0.2,0.869400
3,mutual_knn,0.2,0.928660
3,lcs_knn,0.2,1.844600
3,cka,0.2,0.999072
3,unbiased_cka,0.2,0.998534
3,cknna,0.2,0.924412
3,svcca,0.2,0.844435
3,edit_distance_knn,0.2,0.897480
3,cycle_knn,0.4,0.855900
3,mutual_knn,0.4,0.929750
3,lcs_knn,0.4,1.849100
3,cka,0.4,0.999093
3,unbiased_cka,0.4,0.998511
3,cknna,0.4,0.925110
3,svcca,0.4,0.819112
3,edit_distance_knn,0.4,0.898450
3,cycle_knn,0.6,0.858000
3,mutual_knn,0.6,0.930150
3,lcs_knn,0.6,1.862300
3,cka,0.6,0.998956
3,unbiased_cka,0.6,0.998309
3,cknna,0.6,0.925144
3,svcca,0.6,0.873160
3,edit_distance_knn,0.6,0.900220
3,cycle_knn,0.8,0.856400
3,mutual_knn,0.8,0.931040
3,lcs_knn,0.8,1.843600
3,cka,0.8,0.999108
3,unbiased_cka,0.8,0.998528
3,cknna,0.8,0.926426
3,svcca,0.8,0.819375
3,edit_distance_knn,0.8,0.898460
3,cycle_knn,1.0,0.859500
3,mutual_knn,1.0,0.930250
3,lcs_knn,1.0,1.852100
3,cka,1.0,0.999008
3,unbiased_cka,1.0,0.998346
3,cknna,1.0,0.925713
3,svcca,1.0,0.837367
3,edit_distance_knn,1.0,0.898230
