seed,frac_overlap,normal_asr,transfer_asr
0,0.6,0.488,0.318
0,0.4,0.504,0.284
0,1.0,0.488,0.35
0,0.2,0.492,0.282
0,0.8,0.522,0.344
0,0.0,-1,-1
1,0.0,-1,-1
1,0.4,0.452,0.256
1,1.0,0.444,0.348
1,0.6,0.428,0.258
1,0.8,0.468,0.328
1,0.2,0.484,0.242
2,0.0,-1,-1
2,0.4,0.44,0.27
2,0.6,0.45,0.268
2,0.2,0.44,0.258
2,1.0,0.528,0.354
2,0.8,0.464,0.328
3,0.6,0.526,0.314
3,0.8,0.448,0.3
3,0.4,0.446,0.246
3,1.0,0.438,0.282
3,0.2,0.47,0.234
3,0.0,-1,-1
