seed,frac_overlap,normal_asr,transfer_asr
0,0.8,0.682,0.446
0,0.2,0.702,0.386
0,0.4,0.678,0.382
0,0.0,-1,-1
0,0.6,0.698,0.432
0,1.0,0.678,0.482
1,0.4,0.672,0.37
1,0.2,0.624,0.356
1,0.0,-1,-1
1,0.8,0.714,0.45
1,0.6,0.676,0.414
1,1.0,0.678,0.462
2,0.2,0.696,0.354
2,0.6,0.686,0.394
2,0.4,0.69,0.39
2,1.0,0.702,0.514
2,0.0,-1,-1
2,0.8,0.66,0.422
3,0.8,0.68,0.39
3,0.4,0.688,0.364
3,0.2,0.676,0.322
3,0.0,-1,-1
3,1.0,0.668,0.462
3,0.6,0.674,0.378
