seed,frac_overlap,normal_asr,transfer_asr
0,0.6,0.57,0.364
0,1.0,0.55,0.386
0,0.4,0.562,0.31
0,0.0,-1,-1
0,0.2,0.542,0.3
0,0.8,0.55,0.38
1,0.4,0.484,0.282
1,0.6,0.5,0.32
1,0.8,0.524,0.36
1,0.0,-1,-1
1,0.2,0.52,0.264
1,1.0,0.526,0.406
2,0.8,0.528,0.362
2,0.6,0.492,0.272
2,0.2,0.478,0.266
2,1.0,0.56,0.372
2,0.0,-1,-1
2,0.4,0.508,0.282
3,0.0,-1,-1
3,0.2,0.508,0.244
3,0.8,0.486,0.308
3,0.4,0.48,0.25
3,0.6,0.524,0.334
3,1.0,0.616,0.154
