seed,frac_overlap,normal_asr,transfer_asr
0,0.4,0.734,0.494
0,0.0,-1,-1
0,1.0,0.736,0.608
0,0.2,0.748,0.406
0,0.8,0.756,0.61
0,0.6,0.73,0.51
1,0.2,0.734,0.462
1,0.4,0.712,0.458
1,0.6,0.76,0.542
1,0.8,0.772,0.604
1,0.0,-1,-1
1,1.0,0.698,0.568
2,0.8,0.738,0.502
2,0.4,0.726,0.446
2,1.0,0.716,0.594
2,0.6,0.716,0.486
2,0.2,0.704,0.42
2,0.0,-1,-1
3,1.0,0.714,0.556
3,0.2,0.7,0.412
3,0.4,0.696,0.416
3,0.8,0.716,0.534
3,0.6,0.672,0.45
3,0.0,-1,-1
