seed,frac_overlap,normal_asr,transfer_asr
0,0.4,0.61,0.28
0,0.6,0.574,0.31
0,0.2,0.62,0.284
0,0.0,-1,-1
0,1.0,0.616,0.4
0,0.8,0.566,0.32
1,0.8,0.558,0.326
1,0.2,0.528,0.224
1,0.6,0.586,0.288
1,0.0,-1,-1
1,0.4,0.548,0.268
1,1.0,0.588,0.358
2,0.8,0.592,0.294
2,0.4,0.572,0.276
2,0.6,0.572,0.282
2,0.2,0.598,0.262
2,0.0,-1,-1
2,1.0,0.592,0.342
3,0.0,-1,-1
3,1.0,0.524,0.268
3,0.8,0.6,0.332
3,0.6,0.598,0.272
3,0.2,0.588,0.244
3,0.4,0.602,0.27
