seed,metric,frac_overlap,metric_overlap,metric_ood_one,metric_ood_all_mnist,metric_ood_all_svhn
1,unbiased_cka,0.6,0.640091,0.368677,0.542475,0.550595
1,cknna,0.6,0.199920,0.114335,0.123563,0.051014
1,svcca,0.6,0.538246,0.414898,0.542688,0.540657
1,edit_distance_knn,0.6,0.758267,0.754375,0.753920,0.752382
1,cycle_knn,0.8,0.694500,0.539500,0.674700,0.354833
1,mutual_knn,0.8,0.241350,0.140950,0.165990,0.062124
1,lcs_knn,0.8,0.415500,0.255500,0.282900,0.134335
1,cka,0.8,0.662872,0.367342,0.754729,0.685341
1,unbiased_cka,0.8,0.658030,0.356380,0.754464,0.685067
1,cknna,0.8,0.226475,0.135941,0.162977,0.059543
1,svcca,0.8,0.508087,0.416121,0.603334,0.556302
1,edit_distance_knn,0.8,0.760275,0.755500,0.755470,0.752701
2,cycle_knn,0.4,0.686000,0.414333,0.580900,0.290104
2,mutual_knn,0.4,0.214500,0.082850,0.126570,0.044292
2,lcs_knn,0.4,0.391000,0.164500,0.230800,0.099147
2,cka,0.4,0.695545,0.328127,0.652041,0.522782
2,unbiased_cka,0.4,0.689510,0.322760,0.651755,0.522479
2,cknna,0.4,0.188717,0.086673,0.120212,0.042506
2,svcca,0.4,0.605058,0.366551,0.553765,0.521302
2,edit_distance_knn,0.4,0.758550,0.753233,0.754420,0.751909
2,cycle_knn,0.6,0.689667,0.493000,0.656600,0.312270
2,mutual_knn,0.6,0.218033,0.111375,0.153850,0.049612
2,lcs_knn,0.6,0.385000,0.231750,0.270000,0.111862
2,cka,0.6,0.663246,0.377174,0.696305,0.530471
2,unbiased_cka,0.6,0.657701,0.370196,0.695963,0.530139
2,cknna,0.6,0.207974,0.110443,0.148979,0.049097
2,svcca,0.6,0.559196,0.422400,0.548562,0.558505
2,edit_distance_knn,0.6,0.758833,0.754875,0.755070,0.752224
2,cycle_knn,0.8,0.700500,0.601500,0.659600,0.351029
2,mutual_knn,0.8,0.231325,0.153600,0.158550,0.061728
2,lcs_knn,0.8,0.396500,0.287500,0.275000,0.132529
2,cka,0.8,0.644412,0.421897,0.698384,0.546617
2,unbiased_cka,0.8,0.639435,0.411086,0.698088,0.546249
2,cknna,0.8,0.225311,0.162288,0.147613,0.060419
2,svcca,0.8,0.504968,0.454611,0.580384,0.583641
2,edit_distance_knn,0.8,0.759750,0.756550,0.755780,0.752620
2,cycle_knn,0.0,-1.000000,0.334000,0.522500,0.253765
2,mutual_knn,0.0,-1.000000,0.062060,0.102990,0.038165
2,lcs_knn,0.0,-1.000000,0.128900,0.185600,0.087585
2,cka,0.0,-1.000000,0.280049,0.357416,0.418485
2,unbiased_cka,0.0,-1.000000,0.276217,0.356758,0.418127
2,cknna,0.0,-1.000000,0.071539,0.098090,0.039717
2,svcca,0.0,-1.000000,0.344364,0.500162,0.468961
2,edit_distance_knn,0.0,-1.000000,0.752400,0.753080,0.751648
2,cycle_knn,1.0,0.725800,-1.000000,0.694500,0.432237
2,mutual_knn,1.0,0.272000,-1.000000,0.176290,0.082833
2,lcs_knn,1.0,0.445000,-1.000000,0.293400,0.172941
2,cka,1.0,0.677822,-1.000000,0.705887,0.720460
2,unbiased_cka,1.0,0.673805,-1.000000,0.705558,0.720224
2,cknna,1.0,0.262954,-1.000000,0.169265,0.076810
2,svcca,1.0,0.482370,-1.000000,0.630553,0.629223
2,edit_distance_knn,1.0,0.760980,-1.000000,0.755960,0.753438
2,cycle_knn,0.2,0.685000,0.374000,0.572100,0.271320
