seed,metric,frac_overlap,metric_common,metric_OOD_for_one,metric_OOD_for_all
3,mutual_knn,0.0,-1.000000,0.786820,-1.000000
3,lcs_knn,0.0,-1.000000,1.423000,-1.000000
3,cka,0.0,-1.000000,0.734022,-1.000000
3,unbiased_cka,0.0,-1.000000,0.733777,-1.000000
3,cknna,0.0,-1.000000,0.825426,-1.000000
3,svcca,0.0,-1.000000,0.842330,-1.000000
3,edit_distance_knn,0.0,-1.000000,0.847640,-1.000000
3,cycle_knn,0.33333,0.756800,0.877600,0.722000
3,mutual_knn,0.33333,0.868620,0.813740,0.876960
3,lcs_knn,0.33333,1.578800,1.513600,1.584200
3,cka,0.33333,0.996439,0.887496,0.996860
3,unbiased_cka,0.33333,0.992250,0.887463,0.995780
3,cknna,0.33333,0.877645,0.858328,0.859274
3,svcca,0.33333,0.855677,0.794643,0.812082
3,edit_distance_knn,0.33333,0.863480,0.859180,0.864480
3,cycle_knn,0.66666,0.841000,0.790000,0.858800
3,mutual_knn,0.66666,0.927440,0.730640,0.934780
3,lcs_knn,0.66666,1.857200,1.296200,1.952200
3,cka,0.66666,0.999797,0.976568,0.999363
3,unbiased_cka,0.66666,0.999780,0.976565,0.999157
3,cknna,0.66666,0.949036,0.702606,0.956587
3,svcca,0.66666,0.867672,0.875206,0.868805
3,edit_distance_knn,0.66666,0.899520,0.833500,0.914300
3,cycle_knn,1.0,0.861800,-1.000000,0.818800
3,mutual_knn,1.0,0.938300,-1.000000,0.953940
3,lcs_knn,1.0,1.928800,-1.000000,2.035200
3,cka,1.0,0.999789,-1.000000,0.999714
3,unbiased_cka,1.0,0.999765,-1.000000,0.999368
3,cknna,1.0,0.943736,-1.000000,0.965789
3,svcca,1.0,0.911984,-1.000000,0.866941
3,edit_distance_knn,1.0,0.910600,-1.000000,0.926020
