seed,metric,frac_overlap,metric_common,metric_OOD_for_one,metric_OOD_for_all
0,cycle_knn,0.0,-1.000000,0.818200,-1.000000
0,mutual_knn,0.0,-1.000000,0.726780,-1.000000
0,lcs_knn,0.0,-1.000000,1.282400,-1.000000
0,cka,0.0,-1.000000,0.894951,-1.000000
0,unbiased_cka,0.0,-1.000000,0.894770,-1.000000
0,cknna,0.0,-1.000000,0.796636,-1.000000
0,svcca,0.0,-1.000000,0.834781,-1.000000
0,edit_distance_knn,0.0,-1.000000,0.831740,-1.000000
0,cycle_knn,0.33333,1.000000,0.772600,0.867200
0,mutual_knn,0.33333,0.981660,0.698080,0.619940
0,lcs_knn,0.33333,2.282000,1.203200,1.045000
0,cka,0.33333,0.999132,0.980793,0.969060
0,unbiased_cka,0.33333,0.998852,0.980779,0.964243
0,cknna,0.33333,0.985400,0.793032,0.642071
0,svcca,0.33333,0.861100,0.810249,0.801752
0,edit_distance_knn,0.33333,0.962280,0.822520,0.806680
0,cycle_knn,0.66666,0.998800,0.738200,0.774600
0,mutual_knn,0.66666,0.975040,0.603060,0.673340
0,lcs_knn,0.66666,2.218000,0.957200,1.119200
0,cka,0.66666,0.999839,0.969584,0.991341
0,unbiased_cka,0.66666,0.999827,0.969578,0.991143
0,cknna,0.66666,0.977070,0.596749,0.673733
0,svcca,0.66666,0.880023,0.802886,0.834599
0,edit_distance_knn,0.66666,0.952320,0.795740,0.812000
0,cycle_knn,1.0,0.941000,-1.000000,0.734400
0,mutual_knn,1.0,0.966380,-1.000000,0.898940
0,lcs_knn,1.0,2.147600,-1.000000,1.696800
0,cka,1.0,0.999810,-1.000000,0.999607
0,unbiased_cka,1.0,0.999796,-1.000000,0.999432
0,cknna,1.0,0.974024,-1.000000,0.885933
0,svcca,1.0,0.848356,-1.000000,0.859472
0,edit_distance_knn,1.0,0.942380,-1.000000,0.878260
1,cycle_knn,0.0,-1.000000,0.810400,-1.000000
1,mutual_knn,0.0,-1.000000,0.784400,-1.000000
1,lcs_knn,0.0,-1.000000,1.414800,-1.000000
1,cka,0.0,-1.000000,0.829048,-1.000000
1,unbiased_cka,0.0,-1.000000,0.828783,-1.000000
1,cknna,0.0,-1.000000,0.821323,-1.000000
1,svcca,0.0,-1.000000,0.839260,-1.000000
1,edit_distance_knn,0.0,-1.000000,0.846540,-1.000000
1,cycle_knn,0.33333,0.999000,0.779000,0.779800
1,mutual_knn,0.33333,0.959400,0.799940,0.883060
1,lcs_knn,0.33333,2.040800,1.467600,1.602800
1,cka,0.33333,0.996316,0.799303,0.996930
1,unbiased_cka,0.33333,0.995673,0.798892,0.996059
1,cknna,0.33333,0.958235,0.807447,0.875886
1,svcca,0.33333,0.844713,0.834823,0.824974
1,edit_distance_knn,0.33333,0.924180,0.852440,0.866240
1,cycle_knn,0.66666,0.914000,0.672600,0.887200
1,mutual_knn,0.66666,0.935560,0.886240,0.941220
1,lcs_knn,0.66666,1.935200,1.659400,2.001600
1,cka,0.66666,0.999860,0.993836,0.999477
1,unbiased_cka,0.66666,0.999846,0.992826,0.999376
1,cknna,0.66666,0.948032,0.892624,0.961352
1,svcca,0.66666,0.869581,0.833798,0.843208
1,edit_distance_knn,0.66666,0.911000,0.873740,0.922380
1,cycle_knn,1.0,0.847200,-1.000000,0.812600
1,mutual_knn,1.0,0.943780,-1.000000,0.954360
1,lcs_knn,1.0,1.962600,-1.000000,2.037600
1,cka,1.0,0.999748,-1.000000,0.999749
1,unbiased_cka,1.0,0.999727,-1.000000,0.999605
1,cknna,1.0,0.951698,-1.000000,0.966399
1,svcca,1.0,0.909466,-1.000000,0.813378
1,edit_distance_knn,1.0,0.914240,-1.000000,0.926460
2,cycle_knn,0.0,-1.000000,0.800200,-1.000000
2,mutual_knn,0.0,-1.000000,0.720140,-1.000000
2,lcs_knn,0.0,-1.000000,1.256200,-1.000000
2,cka,0.0,-1.000000,0.917282,-1.000000
2,unbiased_cka,0.0,-1.000000,0.917194,-1.000000
2,cknna,0.0,-1.000000,0.794221,-1.000000
2,svcca,0.0,-1.000000,0.837805,-1.000000
2,edit_distance_knn,0.0,-1.000000,0.828440,-1.000000
2,cycle_knn,0.33333,0.997600,0.820000,0.718000
2,mutual_knn,0.33333,0.956160,0.695740,0.606480
2,lcs_knn,0.33333,2.020200,1.214600,1.001400
2,cka,0.33333,0.996261,0.848417,0.956375
2,unbiased_cka,0.33333,0.995591,0.848129,0.954191
2,cknna,0.33333,0.954934,0.753915,0.663395
2,svcca,0.33333,0.895953,0.858361,0.811932
2,edit_distance_knn,0.33333,0.921180,0.824500,0.802540
2,cycle_knn,0.66666,0.913600,0.893200,0.660600
2,mutual_knn,0.66666,0.920400,0.749720,0.650860
2,lcs_knn,0.66666,1.851400,1.428800,1.065200
2,cka,0.66666,0.999722,0.986204,0.961842
2,unbiased_cka,0.66666,0.999707,0.986146,0.960268
2,cknna,0.66666,0.937490,0.844764,0.679596
2,svcca,0.66666,0.879320,0.880497,0.809217
2,edit_distance_knn,0.66666,0.900300,0.851460,0.807340
2,cycle_knn,1.0,0.887200,-1.000000,0.757200
2,mutual_knn,1.0,0.944940,-1.000000,0.927620
2,lcs_knn,1.0,1.970000,-1.000000,1.880200
2,cka,1.0,0.999863,-1.000000,0.999229
2,unbiased_cka,1.0,0.999849,-1.000000,0.998797
2,cknna,1.0,0.953212,-1.000000,0.952606
2,svcca,1.0,0.872400,-1.000000,0.840730
2,edit_distance_knn,1.0,0.915500,-1.000000,0.905120
3,cycle_knn,0.0,-1.000000,0.820200,-1.000000
3,mutual_knn,0.0,-1.000000,0.801880,-1.000000
3,lcs_knn,0.0,-1.000000,1.464800,-1.000000
3,cka,0.0,-1.000000,0.803961,-1.000000
3,unbiased_cka,0.0,-1.000000,0.803674,-1.000000
3,cknna,0.0,-1.000000,0.837744,-1.000000
3,svcca,0.0,-1.000000,0.841012,-1.000000
3,edit_distance_knn,0.0,-1.000000,0.852060,-1.000000
3,cycle_knn,0.33333,0.729000,0.877400,0.772600
3,mutual_knn,0.33333,0.872080,0.817940,0.884320
3,lcs_knn,0.33333,1.616800,1.524000,1.629400
3,cka,0.33333,0.996428,0.942885,0.996849
3,unbiased_cka,0.33333,0.994726,0.942840,0.996019
3,cknna,0.33333,0.888517,0.861605,0.876476
3,svcca,0.33333,0.827966,0.856019,0.807380
3,edit_distance_knn,0.33333,0.869040,0.860200,0.869320
3,cycle_knn,0.66666,0.854000,0.777200,0.891200
3,mutual_knn,0.66666,0.935580,0.725800,0.936780
3,lcs_knn,0.66666,1.920600,1.275400,1.967600
3,cka,0.66666,0.999836,0.975288,0.999463
3,unbiased_cka,0.66666,0.999824,0.975387,0.999361
3,cknna,0.66666,0.956068,0.683603,0.955961
3,svcca,0.66666,0.841712,0.805614,0.866924
3,edit_distance_knn,0.66666,0.909080,0.831820,0.917160
3,cycle_knn,1.0,0.835800,-1.000000,0.829400
3,mutual_knn,1.0,0.940420,-1.000000,0.957640
3,lcs_knn,1.0,1.930800,-1.000000,2.068200
3,cka,1.0,0.999880,-1.000000,0.999776
3,unbiased_cka,1.0,0.999862,-1.000000,0.999610
3,cknna,1.0,0.949430,-1.000000,0.968632
3,svcca,1.0,0.843719,-1.000000,0.875368
3,edit_distance_knn,1.0,0.909380,-1.000000,0.930300
