seed,metric,frac_overlap,metric_overlap,metric_ood_all_mnist,metric_ood_all_svhn
1,cknna,0.1,0.804893,0.694487,0.784054
1,svcca,0.1,0.637280,0.913243,0.736404
1,edit_distance_knn,0.1,0.344230,0.233190,0.331058
1,cycle_knn,0.2,0.996100,0.975000,0.919522
1,mutual_knn,0.2,0.799720,0.706000,0.776210
1,lcs_knn,0.2,5.309300,4.438900,5.111017
1,cka,0.2,0.988153,0.977306,0.995959
1,unbiased_cka,0.2,0.988117,0.977125,0.995714
1,cknna,0.2,0.792348,0.694303,0.757288
1,svcca,0.2,0.654212,0.901924,0.815219
1,edit_distance_knn,0.2,0.329010,0.233430,0.306853
1,cycle_knn,0.3,0.996300,0.973900,0.923517
1,mutual_knn,0.3,0.817890,0.712930,0.802028
1,lcs_knn,0.3,5.502700,4.489700,5.339813
1,cka,0.3,0.990907,0.978944,0.996622
1,unbiased_cka,0.3,0.990877,0.978897,0.996405
1,cknna,0.3,0.810799,0.700669,0.781527
1,svcca,0.3,0.717891,0.858702,0.769227
1,edit_distance_knn,0.3,0.351930,0.240630,0.332502
1,cycle_knn,0.4,0.993500,0.970200,0.913760
1,mutual_knn,0.4,0.784670,0.687720,0.747538
1,lcs_knn,0.4,5.185200,4.304500,4.862977
1,cka,0.4,0.988264,0.974637,0.995402
1,unbiased_cka,0.4,0.988228,0.974497,0.995084
1,cknna,0.4,0.777843,0.676828,0.727248
1,svcca,0.4,0.696929,0.914867,0.772923
1,edit_distance_knn,0.4,0.315780,0.220160,0.280286
1,cycle_knn,0.5,0.994600,0.973100,0.921904
1,mutual_knn,0.5,0.810020,0.702640,0.792601
1,lcs_knn,0.5,5.402100,4.404800,5.247503
1,cka,0.5,0.989187,0.973630,0.995127
1,unbiased_cka,0.5,0.989154,0.973583,0.994827
1,cknna,0.5,0.803288,0.694169,0.775919
1,svcca,0.5,0.662313,0.911754,0.774308
1,edit_distance_knn,0.5,0.338570,0.230890,0.322814
1,cycle_knn,0.6,0.995000,0.975800,0.923556
1,mutual_knn,0.6,0.805350,0.726960,0.801045
1,lcs_knn,0.6,5.385900,4.601400,5.327174
1,cka,0.6,0.988917,0.979914,0.995963
1,unbiased_cka,0.6,0.988883,0.979869,0.995668
1,cknna,0.6,0.799429,0.719486,0.782539
1,svcca,0.6,0.668303,0.869788,0.773903
1,edit_distance_knn,0.6,0.338170,0.251410,0.331254
1,cycle_knn,0.7,0.995100,0.975500,0.924977
1,mutual_knn,0.7,0.824870,0.696630,0.821792
1,lcs_knn,0.7,5.587300,4.349000,5.552320
1,cka,0.7,0.990394,0.979471,0.996588
1,unbiased_cka,0.7,0.990363,0.979307,0.996418
1,cknna,0.7,0.816678,0.683842,0.804759
1,svcca,0.7,0.669321,0.926358,0.793328
1,edit_distance_knn,0.7,0.361430,0.224650,0.357429
1,cycle_knn,0.8,0.995300,0.973400,0.924439
1,mutual_knn,0.8,0.828560,0.717640,0.814582
1,lcs_knn,0.8,5.663400,4.484400,5.456169
1,cka,0.8,0.992012,0.982702,0.996552
1,unbiased_cka,0.8,0.991983,0.982518,0.996278
1,cknna,0.8,0.825547,0.704732,0.795427
1,svcca,0.8,0.723474,0.890333,0.780826
1,edit_distance_knn,0.8,0.371120,0.237290,0.346520
1,cycle_knn,0.9,0.996500,0.976400,0.927820
1,mutual_knn,0.9,0.826990,0.729820,0.817559
1,lcs_knn,0.9,5.594300,4.612100,5.505877
1,cka,0.9,0.991595,0.985774,0.997154
1,unbiased_cka,0.9,0.991565,0.985735,0.997147
1,cknna,0.9,0.823390,0.715930,0.799533
1,svcca,0.9,0.663270,0.873789,0.819764
1,edit_distance_knn,0.9,0.363490,0.251500,0.351905
1,cycle_knn,1.0,0.994800,0.974200,0.922979
1,mutual_knn,1.0,0.816410,0.702140,0.802059
1,lcs_knn,1.0,5.491900,4.420500,5.332744
1,cka,1.0,0.989331,0.977516,0.995337
1,unbiased_cka,1.0,0.989298,0.977470,0.995315
1,cknna,1.0,0.808893,0.690588,0.784467
1,svcca,1.0,0.642011,0.935287,0.776633
1,edit_distance_knn,1.0,0.350540,0.232700,0.332422
2,cycle_knn,0.0,0.996400,0.973600,0.919561
2,mutual_knn,0.0,0.807690,0.690920,0.796604
2,lcs_knn,0.0,5.408200,4.316400,5.288107
2,cka,0.0,0.987996,0.975704,0.995485
2,unbiased_cka,0.0,0.987961,0.975515,0.995393
2,cknna,0.0,0.797904,0.681266,0.776720
2,svcca,0.0,0.663510,0.878392,0.819348
2,edit_distance_knn,0.0,0.340450,0.220260,0.325472
2,cycle_knn,0.1,0.993600,0.973100,0.920021
2,mutual_knn,0.1,0.791780,0.708370,0.779955
2,lcs_knn,0.1,5.238000,4.453100,5.116165
2,cka,0.1,0.987602,0.981437,0.994321
2,unbiased_cka,0.1,0.987566,0.981392,0.994313
2,cknna,0.1,0.785287,0.698576,0.761607
2,svcca,0.1,0.646030,0.906290,0.819035
2,edit_distance_knn,0.1,0.321100,0.234940,0.307545
2,cycle_knn,0.2,0.995400,0.975800,0.923901
2,mutual_knn,0.2,0.818290,0.694020,0.808974
2,lcs_knn,0.2,5.517500,4.349000,5.392824
2,cka,0.2,0.990374,0.976613,0.996381
2,unbiased_cka,0.2,0.990342,0.976568,0.996143
2,cknna,0.2,0.810163,0.685655,0.793459
2,svcca,0.2,0.627138,0.891814,0.776246
2,edit_distance_knn,0.2,0.352680,0.226810,0.339006
2,cycle_knn,0.3,0.995100,0.973700,0.927013
2,mutual_knn,0.3,0.810950,0.712510,0.807441
2,lcs_knn,0.3,5.448500,4.480000,5.383873
2,cka,0.3,0.989843,0.981563,0.996285
2,unbiased_cka,0.3,0.989810,0.981523,0.996277
2,cknna,0.3,0.804971,0.701961,0.790378
2,svcca,0.3,0.703067,0.914604,0.848285
2,edit_distance_knn,0.3,0.345660,0.237470,0.336839
2,cycle_knn,0.4,0.994000,0.972500,0.917102
2,mutual_knn,0.4,0.783580,0.707830,0.771331
2,lcs_knn,0.4,5.160100,4.451900,5.040066
2,cka,0.4,0.984034,0.976230,0.991763
2,unbiased_cka,0.4,0.983992,0.976066,0.991755
2,cknna,0.4,0.776138,0.698031,0.752909
2,svcca,0.4,0.643217,0.882045,0.776658
2,edit_distance_knn,0.4,0.313060,0.234430,0.299770
2,cycle_knn,0.5,0.995800,0.977400,0.923901
2,mutual_knn,0.5,0.820350,0.730810,0.810326
2,lcs_knn,0.5,5.536900,4.625300,5.428665
2,cka,0.5,0.990663,0.980515,0.996277
2,unbiased_cka,0.5,0.990632,0.980459,0.996206
2,cknna,0.5,0.816501,0.721658,0.792882
2,svcca,0.5,0.677561,0.907152,0.796002
2,edit_distance_knn,0.5,0.355490,0.252440,0.343596
2,cycle_knn,0.6,0.994200,0.971300,0.922019
2,mutual_knn,0.6,0.800740,0.686330,0.794180
2,lcs_knn,0.6,5.322200,4.309300,5.255301
2,cka,0.6,0.986056,0.971384,0.994685
2,unbiased_cka,0.6,0.986018,0.971334,0.994676
2,cknna,0.6,0.791998,0.679174,0.777871
2,svcca,0.6,0.674465,0.879749,0.795686
2,edit_distance_knn,0.6,0.329160,0.222080,0.323629
2,cycle_knn,0.7,0.994200,0.975700,0.916257
2,mutual_knn,0.7,0.806350,0.673600,0.773963
2,lcs_knn,0.7,5.395900,4.182600,5.095152
2,cka,0.7,0.990684,0.975193,0.996263
2,unbiased_cka,0.7,0.990653,0.975017,0.995976
2,cknna,0.7,0.797794,0.660881,0.753998
2,svcca,0.7,0.683700,0.890806,0.768318
2,edit_distance_knn,0.7,0.339900,0.208110,0.305424
2,cycle_knn,0.8,0.994900,0.974600,0.925207
2,mutual_knn,0.8,0.816680,0.716210,0.814217
2,lcs_knn,0.8,5.507400,4.507500,5.481715
2,cka,0.8,0.990145,0.977214,0.997018
2,unbiased_cka,0.8,0.990114,0.977131,0.996756
2,cknna,0.8,0.809542,0.706615,0.796889
2,svcca,0.8,0.687064,0.889200,0.818263
2,edit_distance_knn,0.8,0.352640,0.241160,0.349451
2,cycle_knn,0.9,0.996300,0.974700,0.922173
2,mutual_knn,0.9,0.806670,0.703170,0.781104
2,lcs_knn,0.9,5.396200,4.404500,5.149623
2,cka,0.9,0.990139,0.977958,0.996411
2,unbiased_cka,0.9,0.990108,0.977912,0.996102
2,cknna,0.9,0.802567,0.692723,0.761128
2,svcca,0.9,0.669916,0.876811,0.791647
2,edit_distance_knn,0.9,0.339970,0.229960,0.311163
2,cycle_knn,1.0,0.996000,0.975600,0.922480
2,mutual_knn,1.0,0.820270,0.713220,0.802835
2,lcs_knn,1.0,5.537800,4.481400,5.348840
2,cka,1.0,0.989843,0.980303,0.995743
2,unbiased_cka,1.0,0.989810,0.980259,0.995454
2,cknna,1.0,0.813100,0.704204,0.784647
2,svcca,1.0,0.667699,0.870904,0.844654
2,edit_distance_knn,1.0,0.356110,0.238600,0.334108
3,cycle_knn,0.0,0.995500,0.972500,0.923133
3,mutual_knn,0.0,0.786140,0.705440,0.779429
3,lcs_knn,0.0,5.207400,4.419100,5.120121
3,cka,0.0,0.982699,0.978995,0.992633
3,unbiased_cka,0.0,0.982655,0.978813,0.992624
3,cknna,0.0,0.781830,0.692919,0.763155
3,svcca,0.0,0.717321,0.893446,0.789105
3,edit_distance_knn,0.0,0.318700,0.231130,0.308271
3,cycle_knn,0.1,0.994300,0.974000,0.919138
3,mutual_knn,0.1,0.793570,0.698880,0.766545
3,lcs_knn,0.1,5.259400,4.367000,5.017094
3,cka,0.1,0.988786,0.980135,0.994159
3,unbiased_cka,0.1,0.988752,0.979974,0.994151
3,cknna,0.1,0.790301,0.689473,0.747110
3,svcca,0.1,0.698363,0.934876,0.844670
3,edit_distance_knn,0.1,0.322940,0.227040,0.297253
3,cycle_knn,0.2,0.994700,0.975500,0.923171
3,mutual_knn,0.2,0.811940,0.727550,0.789478
3,lcs_knn,0.2,5.451300,4.596900,5.217809
3,cka,0.2,0.990328,0.983057,0.996765
3,unbiased_cka,0.2,0.990296,0.982878,0.996475
3,cknna,0.2,0.807195,0.716489,0.767809
3,svcca,0.2,0.681699,0.896316,0.806934
3,edit_distance_knn,0.2,0.347320,0.251640,0.318804
3,cycle_knn,0.3,0.994700,0.975600,0.923824
3,mutual_knn,0.3,0.817450,0.722570,0.807921
3,lcs_knn,0.3,5.511200,4.557800,5.401198
3,cka,0.3,0.990893,0.979930,0.996473
3,unbiased_cka,0.3,0.990862,0.979730,0.996465
3,cknna,0.3,0.817670,0.713196,0.792212
3,svcca,0.3,0.645213,0.937729,0.842578
3,edit_distance_knn,0.3,0.353810,0.245840,0.339336
3,cycle_knn,0.4,0.995000,0.974900,0.921328
