seed,metric,partition,model0,model1,cifar10,digit,mnist,partition_metric,shape,svhn
1,svcca,partition2,shape_digit,shape_color,0.294906,0.480765,0.276820,0.558143,0.402599,0.293331
1,edit_distance_knn,partition2,shape_digit,shape_color,0.750210,0.775603,0.750520,0.750605,0.750750,0.750251
1,cycle_knn,partition2,shape_digit,digit_color,0.088200,0.912931,0.220300,0.156483,0.296250,0.098121
1,mutual_knn,partition2,shape_digit,digit_color,0.011570,0.338362,0.030790,0.019680,0.047175,0.014765
1,lcs_knn,partition2,shape_digit,digit_color,0.026600,0.672414,0.067000,0.046038,0.100000,0.033994
1,cka,partition2,shape_digit,digit_color,0.220539,0.561178,0.186403,0.396817,0.373735,0.233673
1,unbiased_cka,partition2,shape_digit,digit_color,0.219649,0.536169,0.185689,0.394988,0.353760,0.233166
1,cknna,partition2,shape_digit,digit_color,0.009340,0.393060,0.027379,0.016131,0.038892,0.012771
1,svcca,partition2,shape_digit,digit_color,0.359388,0.566678,0.367959,0.502614,0.509377,0.433018
1,edit_distance_knn,partition2,shape_digit,digit_color,0.750380,0.785345,0.750640,0.750642,0.751200,0.750451
1,cycle_knn,partition2,shape_color,digit_color,0.106200,0.867241,0.104000,0.100865,0.551750,0.144857
1,mutual_knn,partition2,shape_color,digit_color,0.013590,0.300948,0.012770,0.011193,0.124425,0.018522
1,lcs_knn,partition2,shape_color,digit_color,0.031800,0.591379,0.030500,0.026228,0.229500,0.041434
1,cka,partition2,shape_color,digit_color,0.505896,0.764965,0.060797,0.165418,0.645632,0.722548
1,unbiased_cka,partition2,shape_color,digit_color,0.505492,0.707547,0.060100,0.163073,0.607206,0.722474
1,cknna,partition2,shape_color,digit_color,0.011170,0.353640,0.011064,0.008169,0.117178,0.015064
1,svcca,partition2,shape_color,digit_color,0.359554,0.540545,0.230740,0.216295,0.615501,0.414330
1,edit_distance_knn,partition2,shape_color,digit_color,0.750420,0.779224,0.750360,0.750353,0.754150,0.750493
1,cycle_knn,partition3,all0,all1,0.207800,0.971552,0.306100,0.835240,0.736000,0.239025
1,mutual_knn,partition3,all0,all1,0.034100,0.483535,0.046010,0.621842,0.231950,0.041895
