seed,metric,partition,model0,model1,cifar10,digit,mnist,partition_metric,shape,svhn
6,cknna,partition2,shape_color,digit_color,0.012541,0.306891,0.013565,0.007888,0.180817,0.019097
6,svcca,partition2,shape_color,digit_color,0.330303,0.498816,0.231439,0.236450,0.695638,0.336282
6,edit_distance_knn,partition2,shape_color,digit_color,0.750370,0.775776,0.750390,0.750256,0.757550,0.750674
6,cycle_knn,partition3,all0,all1,0.173600,0.970690,0.300400,0.839053,0.719500,0.216983
6,mutual_knn,partition3,all0,all1,0.028120,0.487328,0.046010,0.613030,0.206800,0.037263
6,lcs_knn,partition3,all0,all1,0.060400,0.900000,0.102200,0.879464,0.379250,0.076962
6,cka,partition3,all0,all1,0.562000,0.819241,0.286321,0.643417,0.727918,0.795787
6,unbiased_cka,partition3,all0,all1,0.561311,0.751253,0.285454,0.640759,0.679200,0.795674
6,cknna,partition3,all0,all1,0.022187,0.552748,0.040517,0.514323,0.205109,0.033555
6,svcca,partition3,all0,all1,0.509393,0.655124,0.431889,0.228659,0.716803,0.551891
6,edit_distance_knn,partition3,all0,all1,0.751040,0.799655,0.751510,0.782645,0.758475,0.751228
7,cycle_knn,partition1,shape,digit,0.031900,0.732759,0.098900,0.016602,0.176750,0.045526
7,mutual_knn,partition1,shape,digit,0.003490,0.157241,0.011400,0.001693,0.023025,0.005055
7,lcs_knn,partition1,shape,digit,0.009300,0.341379,0.026600,0.004371,0.056750,0.013207
7,cka,partition1,shape,digit,0.098286,0.210829,0.073514,0.000291,0.461496,0.189194
7,unbiased_cka,partition1,shape,digit,0.097575,0.206321,0.073193,0.000000,0.456618,0.189222
7,cknna,partition1,shape,digit,0.002702,0.192544,0.008905,0.001332,0.017530,0.003839
7,svcca,partition1,shape,digit,0.183720,0.338027,0.203663,0.027685,0.385150,0.204169
7,edit_distance_knn,partition1,shape,digit,0.750100,0.765862,0.750390,0.750056,0.750650,0.750107
7,cycle_knn,partition2,shape_digit,shape_color,0.076800,0.823276,0.154300,0.151553,0.218750,0.095796
7,mutual_knn,partition2,shape_digit,shape_color,0.009450,0.225086,0.020120,0.019248,0.031175,0.011742
7,lcs_knn,partition2,shape_digit,shape_color,0.021800,0.481897,0.043000,0.045433,0.073250,0.028506
7,cka,partition2,shape_digit,shape_color,0.200790,0.315250,0.243103,0.427973,0.508782,0.500343
7,unbiased_cka,partition2,shape_digit,shape_color,0.200126,0.311309,0.242776,0.426425,0.494216,0.500267
7,cknna,partition2,shape_digit,shape_color,0.007372,0.272890,0.017678,0.016221,0.026120,0.009962
7,svcca,partition2,shape_digit,shape_color,0.298642,0.448815,0.307925,0.516374,0.461950,0.342398
7,edit_distance_knn,partition2,shape_digit,shape_color,0.750270,0.773707,0.750530,0.750637,0.750950,0.750367
7,cycle_knn,partition2,shape_digit,digit_color,0.108800,0.925000,0.282700,0.141044,0.343000,0.142206
7,mutual_knn,partition2,shape_digit,digit_color,0.015220,0.324138,0.041600,0.017285,0.058850,0.021061
7,lcs_knn,partition2,shape_digit,digit_color,0.031800,0.628448,0.085200,0.042318,0.129500,0.046410
7,cka,partition2,shape_digit,digit_color,0.285229,0.365699,0.390574,0.395668,0.382034,0.493910
7,unbiased_cka,partition2,shape_digit,digit_color,0.284323,0.331413,0.390111,0.393845,0.362230,0.493254
7,cknna,partition2,shape_digit,digit_color,0.011976,0.385555,0.036605,0.014184,0.054070,0.018839
7,svcca,partition2,shape_digit,digit_color,0.388555,0.513189,0.429078,0.508662,0.527928,0.495846
7,edit_distance_knn,partition2,shape_digit,digit_color,0.750480,0.781379,0.751210,0.750600,0.751950,0.750623
7,cycle_knn,partition2,shape_color,digit_color,0.095200,0.860345,0.158000,0.093145,0.522000,0.132208
7,mutual_knn,partition2,shape_color,digit_color,0.012010,0.273362,0.020700,0.010384,0.103550,0.017132
7,lcs_knn,partition2,shape_color,digit_color,0.029400,0.534483,0.047800,0.025949,0.199000,0.040504
7,cka,partition2,shape_color,digit_color,0.177787,0.581794,0.259171,0.185308,0.445175,0.447046
7,unbiased_cka,partition2,shape_color,digit_color,0.177074,0.552882,0.258451,0.182983,0.423240,0.446938
7,cknna,partition2,shape_color,digit_color,0.009894,0.316741,0.017837,0.007265,0.098723,0.014241
7,svcca,partition2,shape_color,digit_color,0.300202,0.501623,0.309515,0.245069,0.581633,0.369473
7,edit_distance_knn,partition2,shape_color,digit_color,0.750480,0.775603,0.750720,0.750367,0.753075,0.750414
7,cycle_knn,partition3,all0,all1,0.189900,0.980172,0.297200,0.837984,0.665250,0.202613
7,mutual_knn,partition3,all0,all1,0.031570,0.498276,0.048330,0.614695,0.193375,0.035342
7,lcs_knn,partition3,all0,all1,0.067000,0.923276,0.105600,0.880441,0.356750,0.075009
7,cka,partition3,all0,all1,0.505305,0.754876,0.252366,0.652182,0.684197,0.702334
7,unbiased_cka,partition3,all0,all1,0.504615,0.629588,0.251227,0.649577,0.618541,0.702114
7,cknna,partition3,all0,all1,0.024105,0.545198,0.045907,0.512940,0.194514,0.032333
7,svcca,partition3,all0,all1,0.483527,0.651942,0.373680,0.239120,0.672289,0.535766
7,edit_distance_knn,partition3,all0,all1,0.750810,0.798793,0.751620,0.783115,0.758050,0.751223
8,cycle_knn,partition1,shape,digit,0.039100,0.731897,0.085500,0.017671,0.174000,0.046968
8,mutual_knn,partition1,shape,digit,0.004590,0.165259,0.010230,0.001814,0.022575,0.005352
8,lcs_knn,partition1,shape,digit,0.010200,0.362069,0.026200,0.004697,0.053500,0.013393
8,cka,partition1,shape,digit,0.104737,0.235195,0.034446,0.000419,0.555284,0.166221
8,unbiased_cka,partition1,shape,digit,0.104034,0.230690,0.034060,0.000034,0.543776,0.166608
8,cknna,partition1,shape,digit,0.003408,0.203167,0.008863,0.001519,0.016116,0.004138
8,svcca,partition1,shape,digit,0.198017,0.346972,0.213590,0.031281,0.370138,0.217843
8,edit_distance_knn,partition1,shape,digit,0.750110,0.767328,0.750180,0.750093,0.750825,0.750135
8,cycle_knn,partition2,shape_digit,shape_color,0.070300,0.882759,0.116100,0.150437,0.229750,0.074172
8,mutual_knn,partition2,shape_digit,shape_color,0.008930,0.258276,0.014600,0.018866,0.032950,0.009105
8,lcs_knn,partition2,shape_digit,shape_color,0.020000,0.528448,0.035100,0.043015,0.080250,0.021577
8,cka,partition2,shape_digit,shape_color,0.374301,0.529806,0.064343,0.434220,0.411118,0.307646
8,unbiased_cka,partition2,shape_digit,shape_color,0.373689,0.516894,0.063974,0.432729,0.379262,0.307351
8,cknna,partition2,shape_digit,shape_color,0.006421,0.324527,0.012292,0.016110,0.027865,0.007652
8,svcca,partition2,shape_digit,shape_color,0.322400,0.430257,0.306270,0.565543,0.416188,0.355200
8,edit_distance_knn,partition2,shape_digit,shape_color,0.750280,0.776121,0.750430,0.750525,0.751175,0.750219
8,cycle_knn,partition2,shape_digit,digit_color,0.094000,0.900862,0.212600,0.150670,0.269750,0.109654
8,mutual_knn,partition2,shape_digit,digit_color,0.012540,0.311724,0.028900,0.018880,0.041625,0.016341
8,lcs_knn,partition2,shape_digit,digit_color,0.030100,0.576724,0.063900,0.048410,0.096750,0.035017
8,cka,partition2,shape_digit,digit_color,0.206643,0.588195,0.159304,0.411283,0.402194,0.356910
8,unbiased_cka,partition2,shape_digit,digit_color,0.205734,0.575830,0.158655,0.409520,0.394182,0.356521
8,cknna,partition2,shape_digit,digit_color,0.010543,0.372378,0.025056,0.015891,0.036016,0.013101
8,svcca,partition2,shape_digit,digit_color,0.327402,0.512818,0.370439,0.529973,0.499655,0.438026
8,edit_distance_knn,partition2,shape_digit,digit_color,0.750260,0.778621,0.750890,0.750721,0.751650,0.750456
8,cycle_knn,partition2,shape_color,digit_color,0.109300,0.885345,0.107300,0.098819,0.560750,0.141881
8,mutual_knn,partition2,shape_color,digit_color,0.014600,0.298103,0.013720,0.010742,0.133600,0.018471
8,lcs_knn,partition2,shape_color,digit_color,0.032100,0.587931,0.031600,0.025577,0.249500,0.041992
8,cka,partition2,shape_color,digit_color,0.438675,0.885113,0.077938,0.173438,0.534397,0.843456
8,unbiased_cka,partition2,shape_color,digit_color,0.438090,0.853068,0.077628,0.171147,0.496547,0.843368
8,cknna,partition2,shape_color,digit_color,0.012006,0.340273,0.011547,0.007841,0.130497,0.015440
8,svcca,partition2,shape_color,digit_color,0.346501,0.492860,0.255522,0.233612,0.650002,0.415119
8,edit_distance_knn,partition2,shape_color,digit_color,0.750450,0.776638,0.750310,0.750316,0.755000,0.750521
8,cycle_knn,partition3,all0,all1,0.182800,0.954310,0.273400,0.842866,0.738250,0.218238
8,mutual_knn,partition3,all0,all1,0.029720,0.440603,0.040230,0.626149,0.222925,0.039951
8,lcs_knn,partition3,all0,all1,0.066100,0.830172,0.090900,0.888997,0.400000,0.081194
8,cka,partition3,all0,all1,0.258320,0.742382,0.182171,0.630233,0.832397,0.445182
8,unbiased_cka,partition3,all0,all1,0.257318,0.651594,0.181556,0.627486,0.775563,0.444928
8,cknna,partition3,all0,all1,0.025137,0.502495,0.036239,0.529692,0.221993,0.037456
8,svcca,partition3,all0,all1,0.497590,0.593392,0.427625,0.219853,0.766777,0.534582
8,edit_distance_knn,partition3,all0,all1,0.750830,0.795431,0.751210,0.783566,0.759850,0.751302
9,cycle_knn,partition1,shape,digit,0.034700,0.752586,0.097100,0.021252,0.162750,0.030320
9,mutual_knn,partition1,shape,digit,0.003870,0.170948,0.011980,0.002125,0.020800,0.003353
9,lcs_knn,partition1,shape,digit,0.009200,0.359483,0.028300,0.005441,0.044250,0.007719
9,cka,partition1,shape,digit,0.178263,0.281018,0.124387,0.000421,0.499182,0.209875
9,unbiased_cka,partition1,shape,digit,0.177382,0.277371,0.124128,0.000036,0.494769,0.210151
9,cknna,partition1,shape,digit,0.002786,0.212440,0.010771,0.002043,0.014813,0.002585
9,svcca,partition1,shape,digit,0.196728,0.401688,0.191729,0.031080,0.372628,0.201578
9,edit_distance_knn,partition1,shape,digit,0.750110,0.768017,0.750240,0.750107,0.750550,0.750084
9,cycle_knn,partition2,shape_digit,shape_color,0.057700,0.876724,0.124700,0.157366,0.211000,0.074079
9,mutual_knn,partition2,shape_digit,shape_color,0.007010,0.257586,0.016050,0.019731,0.029800,0.008887
9,lcs_knn,partition2,shape_digit,shape_color,0.016400,0.530172,0.038100,0.047526,0.067750,0.021670
9,cka,partition2,shape_digit,shape_color,0.242943,0.296950,0.077293,0.438531,0.458752,0.257145
9,unbiased_cka,partition2,shape_digit,shape_color,0.242268,0.288683,0.076773,0.437039,0.426466,0.256763
9,cknna,partition2,shape_digit,shape_color,0.005138,0.323530,0.014280,0.017434,0.022629,0.007174
9,svcca,partition2,shape_digit,shape_color,0.294213,0.429788,0.268692,0.554130,0.416209,0.321458
9,edit_distance_knn,partition2,shape_digit,shape_color,0.750200,0.776897,0.750570,0.750707,0.751050,0.750219
9,cycle_knn,partition2,shape_digit,digit_color,0.090500,0.933621,0.192900,0.147833,0.356000,0.126953
9,mutual_knn,partition2,shape_digit,digit_color,0.012250,0.324397,0.026630,0.018657,0.060825,0.018508
9,lcs_knn,partition2,shape_digit,digit_color,0.026200,0.613793,0.054300,0.046363,0.124750,0.042597
9,cka,partition2,shape_digit,digit_color,0.202868,0.393165,0.087207,0.384701,0.437112,0.259146
9,unbiased_cka,partition2,shape_digit,digit_color,0.201649,0.372338,0.086812,0.382850,0.412436,0.258505
9,cknna,partition2,shape_digit,digit_color,0.009610,0.388870,0.023363,0.015768,0.052080,0.016813
9,svcca,partition2,shape_digit,digit_color,0.345912,0.501556,0.347725,0.483771,0.553795,0.479321
9,edit_distance_knn,partition2,shape_digit,digit_color,0.750360,0.781293,0.750860,0.750688,0.752300,0.750539
9,cycle_knn,partition2,shape_color,digit_color,0.126400,0.894828,0.139600,0.101981,0.560750,0.187174
9,mutual_knn,partition2,shape_color,digit_color,0.017300,0.295517,0.018610,0.011063,0.119150,0.025870
9,lcs_knn,partition2,shape_color,digit_color,0.041700,0.576724,0.039400,0.026739,0.237000,0.060407
9,cka,partition2,shape_color,digit_color,0.235047,0.809582,0.051329,0.191157,0.558867,0.519940
9,unbiased_cka,partition2,shape_color,digit_color,0.234252,0.775322,0.051175,0.188849,0.505291,0.519706
9,cknna,partition2,shape_color,digit_color,0.014700,0.343257,0.016205,0.008311,0.113576,0.022531
9,svcca,partition2,shape_color,digit_color,0.338824,0.445702,0.265759,0.253057,0.622516,0.411552
9,edit_distance_knn,partition2,shape_color,digit_color,0.750540,0.780345,0.750510,0.750349,0.754650,0.750809
9,cycle_knn,partition3,all0,all1,0.215300,0.982759,0.352400,0.835007,0.741250,0.224609
9,mutual_knn,partition3,all0,all1,0.037720,0.534655,0.057440,0.618257,0.234200,0.039634
9,lcs_knn,partition3,all0,all1,0.084100,0.954310,0.118900,0.882720,0.407750,0.084263
9,cka,partition3,all0,all1,0.427454,0.824398,0.297746,0.644738,0.755046,0.621039
9,unbiased_cka,partition3,all0,all1,0.426637,0.755051,0.296549,0.642073,0.706867,0.620841
9,cknna,partition3,all0,all1,0.032532,0.596013,0.054102,0.519750,0.235680,0.036713
9,svcca,partition3,all0,all1,0.536837,0.691621,0.418608,0.242756,0.749626,0.554565
9,edit_distance_knn,partition3,all0,all1,0.751200,0.803621,0.751640,0.782971,0.760175,0.751372
