seed,metric,frac_overlap,metric_overlap,metric_ood_one,metric_ood_all_mnist,metric_ood_all_svhn
1,unbiased_cka,1.0,0.970258,-1.000000,0.598850,0.620657
1,cknna,1.0,0.088234,-1.000000,0.024292,0.010023
1,svcca,1.0,0.854641,-1.000000,0.547818,0.574409
1,edit_distance_knn,1.0,0.754360,-1.000000,0.750700,0.750415
1,cycle_knn,0.2,0.334000,0.111125,0.100000,0.045329
1,mutual_knn,0.2,0.054300,0.013463,0.011510,0.005121
1,lcs_knn,0.2,0.111000,0.033000,0.026300,0.012754
1,cka,0.2,0.354789,0.437317,0.061499,0.077367
1,unbiased_cka,0.2,0.351510,0.437004,0.061241,0.077282
1,cknna,0.2,0.041960,0.009125,0.010337,0.004357
1,svcca,0.2,0.335337,0.360868,0.224259,0.311552
1,edit_distance_knn,0.2,0.751900,0.750425,0.750220,0.750131
2,cycle_knn,0.6,0.374667,0.159000,0.104600,0.039682
2,mutual_knn,0.6,0.062233,0.018900,0.012430,0.004821
2,lcs_knn,0.6,0.139667,0.045750,0.029200,0.011832
2,cka,0.6,0.965979,0.354606,0.195886,0.076927
2,unbiased_cka,0.6,0.965953,0.354034,0.195639,0.076826
2,cknna,0.6,0.045395,0.014323,0.011257,0.003947
2,svcca,0.6,0.517427,0.326828,0.324173,0.284116
2,edit_distance_knn,0.6,0.751967,0.750525,0.750310,0.750161
2,cycle_knn,0.8,0.438000,0.222000,0.133400,0.051206
2,mutual_knn,0.8,0.076825,0.028250,0.016630,0.006415
2,lcs_knn,0.8,0.152000,0.061500,0.035200,0.015904
2,cka,0.8,0.970822,0.647534,0.364385,0.398420
2,unbiased_cka,0.8,0.970791,0.647297,0.364215,0.398362
2,cknna,0.8,0.060262,0.018770,0.015389,0.005195
2,svcca,0.8,0.642051,0.321117,0.347278,0.400480
2,edit_distance_knn,0.8,0.752275,0.750950,0.750440,0.750207
2,cycle_knn,0.2,0.351000,0.109875,0.094700,0.041257
2,mutual_knn,0.2,0.049000,0.013513,0.010660,0.004786
2,lcs_knn,0.2,0.121000,0.029250,0.026600,0.011524
2,cka,0.2,0.323060,0.461001,0.059302,0.183170
2,unbiased_cka,0.2,0.319530,0.460696,0.059096,0.183082
2,cknna,0.2,0.038384,0.011038,0.010323,0.003745
2,svcca,0.2,0.333675,0.342127,0.197597,0.312652
2,edit_distance_knn,0.2,0.752600,0.750400,0.750390,0.750115
2,cycle_knn,0.0,-1.000000,0.085900,0.078200,0.039336
2,mutual_knn,0.0,-1.000000,0.010580,0.008780,0.004452
2,lcs_knn,0.0,-1.000000,0.024200,0.017900,0.011217
2,cka,0.0,-1.000000,0.369976,0.081158,0.110453
2,unbiased_cka,0.0,-1.000000,0.369689,0.080926,0.110356
2,cknna,0.0,-1.000000,0.008098,0.007575,0.003921
2,svcca,0.0,-1.000000,0.327647,0.215563,0.294349
2,edit_distance_knn,0.0,-1.000000,0.750270,0.750220,0.750142
2,cycle_knn,1.0,0.595400,-1.000000,0.214700,0.087738
2,mutual_knn,1.0,0.128540,-1.000000,0.030100,0.011463
2,lcs_knn,1.0,0.254200,-1.000000,0.057900,0.026506
2,cka,1.0,0.976139,-1.000000,0.691925,0.492371
2,unbiased_cka,1.0,0.976109,-1.000000,0.691837,0.492318
2,cknna,1.0,0.100830,-1.000000,0.025402,0.009423
2,svcca,1.0,0.864460,-1.000000,0.615042,0.569317
2,edit_distance_knn,1.0,0.754540,-1.000000,0.750740,0.750350
2,cycle_knn,0.4,0.367500,0.103833,0.102300,0.033152
2,mutual_knn,0.4,0.059500,0.012150,0.012180,0.004049
2,lcs_knn,0.4,0.125000,0.029000,0.025700,0.009911
2,cka,0.4,0.982754,0.338657,0.126222,0.050867
2,unbiased_cka,0.4,0.982746,0.338242,0.125993,0.050781
2,cknna,0.4,0.046463,0.008909,0.011321,0.003600
2,svcca,0.4,0.411902,0.298292,0.284284,0.276625
2,edit_distance_knn,0.4,0.752250,0.750300,0.750340,0.750131
3,cycle_knn,0.6,0.341000,0.157500,0.127100,0.044215
3,mutual_knn,0.6,0.055233,0.018025,0.015910,0.005113
3,lcs_knn,0.6,0.123000,0.038250,0.032700,0.012062
3,cka,0.6,0.968310,0.559460,0.278072,0.197975
3,unbiased_cka,0.6,0.968282,0.559094,0.277884,0.197861
3,cknna,0.6,0.039651,0.012291,0.013469,0.004171
3,svcca,0.6,0.518816,0.331143,0.276136,0.345555
3,edit_distance_knn,0.6,0.751567,0.750350,0.750380,0.750131
3,cycle_knn,0.0,-1.000000,0.075800,0.093200,0.038222
3,mutual_knn,0.0,-1.000000,0.008380,0.011280,0.004372
3,lcs_knn,0.0,-1.000000,0.017500,0.022400,0.009219
3,cka,0.0,-1.000000,0.287749,0.150773,0.120842
3,unbiased_cka,0.0,-1.000000,0.287405,0.150572,0.120757
3,cknna,0.0,-1.000000,0.006311,0.009592,0.003689
3,svcca,0.0,-1.000000,0.330038,0.240929,0.255746
3,edit_distance_knn,0.0,-1.000000,0.750220,0.750230,0.750108
3,cycle_knn,0.4,0.324500,0.134667,0.125500,0.049401
3,mutual_knn,0.4,0.049150,0.015250,0.015910,0.005927
3,lcs_knn,0.4,0.099000,0.034167,0.034200,0.014482
3,cka,0.4,0.957799,0.283845,0.392530,0.082987
3,unbiased_cka,0.4,0.957776,0.283433,0.392377,0.082902
3,cknna,0.4,0.036316,0.012230,0.014243,0.005214
3,svcca,0.4,0.429933,0.299261,0.283721,0.270316
3,edit_distance_knn,0.4,0.751600,0.750333,0.750330,0.750200
3,cycle_knn,0.8,0.424000,0.228000,0.150100,0.048825
3,mutual_knn,0.8,0.072350,0.028800,0.019740,0.005712
3,lcs_knn,0.8,0.149500,0.077000,0.039800,0.014636
3,cka,0.8,0.964347,0.869125,0.434463,0.277243
3,unbiased_cka,0.8,0.964310,0.869089,0.434300,0.277153
3,cknna,0.8,0.054197,0.018744,0.017038,0.004800
3,svcca,0.8,0.674739,0.342651,0.381538,0.390147
3,edit_distance_knn,0.8,0.752400,0.750950,0.750530,0.750181
3,cycle_knn,0.2,0.262000,0.080500,0.115300,0.036186
3,mutual_knn,0.2,0.035600,0.009337,0.013750,0.004045
3,lcs_knn,0.2,0.072000,0.020375,0.028000,0.010333
3,cka,0.2,0.298261,0.237520,0.294167,0.070157
3,unbiased_cka,0.2,0.294814,0.237102,0.293981,0.070073
3,cknna,0.2,0.028163,0.007095,0.012002,0.003162
3,svcca,0.2,0.335744,0.292165,0.254062,0.255186
3,edit_distance_knn,0.2,0.750900,0.750200,0.750410,0.750123
3,cycle_knn,1.0,0.563400,-1.000000,0.253300,0.083666
3,mutual_knn,1.0,0.116580,-1.000000,0.037530,0.010791
3,lcs_knn,1.0,0.227400,-1.000000,0.069500,0.025430
3,cka,1.0,0.968803,-1.000000,0.614768,0.474220
3,unbiased_cka,1.0,0.968766,-1.000000,0.614624,0.474145
3,cknna,1.0,0.093870,-1.000000,0.033626,0.009006
3,svcca,1.0,0.834908,-1.000000,0.475570,0.520999
3,edit_distance_knn,1.0,0.754060,-1.000000,0.750800,0.750373
4,cycle_knn,0.4,0.321500,0.140333,0.088300,0.048978
4,mutual_knn,0.4,0.048150,0.017650,0.010000,0.005931
4,lcs_knn,0.4,0.108000,0.039833,0.019400,0.014290
4,cka,0.4,0.964056,0.458920,0.069905,0.078970
4,unbiased_cka,0.4,0.964043,0.458573,0.069646,0.078884
4,cknna,0.4,0.033812,0.014278,0.009122,0.005477
4,svcca,0.4,0.429337,0.323478,0.264333,0.334199
4,edit_distance_knn,0.4,0.751700,0.750500,0.750250,0.750157
4,cycle_knn,0.2,0.213000,0.107750,0.082400,0.042640
4,mutual_knn,0.2,0.026600,0.012525,0.009200,0.004733
4,lcs_knn,0.2,0.061000,0.029125,0.022200,0.011947
4,cka,0.2,0.199292,0.400907,0.125110,0.220369
4,unbiased_cka,0.2,0.195770,0.400563,0.124872,0.220262
4,cknna,0.2,0.017581,0.010196,0.008307,0.004221
4,svcca,0.2,0.285454,0.333529,0.245620,0.301319
4,edit_distance_knn,0.2,0.750700,0.750263,0.750200,0.750181
4,cycle_knn,0.8,0.457750,0.184000,0.110500,0.063422
4,mutual_knn,0.8,0.084675,0.022250,0.012450,0.007614
4,lcs_knn,0.8,0.170000,0.054000,0.028000,0.019053
4,cka,0.8,0.970595,0.279847,0.155352,0.098515
4,unbiased_cka,0.8,0.970563,0.279238,0.155145,0.098393
