seed,metric,frac_overlap,metric_common,metric_OOD_for_one,metric_OOD_for_all
2,lcs_knn,0.0,-1.000000,0.456146,-1.000000
2,cka,0.0,-1.000000,0.782228,-1.000000
2,unbiased_cka,0.0,-1.000000,0.782133,-1.000000
2,cknna,0.0,-1.000000,0.335207,-1.000000
2,svcca,0.0,-1.000000,0.749886,-1.000000
2,edit_distance_knn,0.0,-1.000000,0.771434,-1.000000
3,cycle_knn,0.3333333333333333,0.821805,0.671171,0.380390
3,mutual_knn,0.3333333333333333,0.354400,0.285112,0.070537
3,lcs_knn,0.3333333333333333,0.590829,0.559024,0.155610
3,cka,0.3333333333333333,0.881158,0.834378,0.585649
3,unbiased_cka,0.3333333333333333,0.881044,0.834382,0.584901
3,cknna,0.3333333333333333,0.362072,0.436856,0.089233
3,svcca,0.3333333333333333,0.793506,0.709172,0.608597
3,edit_distance_knn,0.3333333333333333,0.769454,0.782751,0.755039
3,cycle_knn,1.0,0.921756,-1.000000,0.893073
3,mutual_knn,1.0,0.667746,-1.000000,0.661532
3,lcs_knn,1.0,1.069854,-1.000000,1.186683
3,cka,1.0,0.985410,-1.000000,0.989179
3,unbiased_cka,1.0,0.985368,-1.000000,0.989136
3,cknna,1.0,0.683489,-1.000000,0.760998
3,svcca,1.0,0.846364,-1.000000,0.860497
3,edit_distance_knn,1.0,0.806493,-1.000000,0.824532
3,cycle_knn,0.6666666666666666,0.805902,0.765756,0.504488
3,mutual_knn,0.6666666666666666,0.313102,0.498366,0.109985
3,lcs_knn,0.6666666666666666,0.548683,0.950000,0.228390
3,cka,0.6666666666666666,0.951612,0.947238,0.937854
3,unbiased_cka,0.6666666666666666,0.951650,0.947259,0.937806
3,cknna,0.6666666666666666,0.338269,0.672551,0.121585
3,svcca,0.6666666666666666,0.809028,0.716705,0.667743
3,edit_distance_knn,0.6666666666666666,0.770371,0.814390,0.756941
3,cycle_knn,0.0,-1.000000,0.652146,-1.000000
3,mutual_knn,0.0,-1.000000,0.232454,-1.000000
3,lcs_knn,0.0,-1.000000,0.460244,-1.000000
3,cka,0.0,-1.000000,0.781353,-1.000000
