seed,metric,frac_overlap,metric_shakespeare,metric_tinystories,metric_wikitext
2,cknna,0.6,0.924927,0.638592,0.914844
2,svcca,0.6,0.713885,0.803615,0.782045
2,edit_distance_knn,0.6,0.904420,0.799644,0.890083
2,cycle_knn,0.2,0.999951,0.936780,0.999805
2,mutual_knn,0.2,0.920917,0.619688,0.897585
2,lcs_knn,0.2,1.878098,1.003756,1.771415
2,cka,0.2,0.891846,0.969265,0.923315
2,unbiased_cka,0.2,0.891253,0.969157,0.922877
2,cknna,0.2,0.924928,0.637418,0.910919
2,svcca,0.2,0.694905,0.790999,0.798119
2,edit_distance_knn,0.2,0.902317,0.800307,0.888068
2,cycle_knn,1.0,1.000000,0.938244,0.999951
2,mutual_knn,1.0,0.921493,0.623410,0.900068
2,lcs_knn,1.0,1.886537,1.005415,1.771951
2,cka,1.0,0.897382,0.971812,0.930158
2,unbiased_cka,1.0,0.896846,0.971704,0.929613
2,cknna,1.0,0.923379,0.642554,0.910397
2,svcca,1.0,0.744986,0.775457,0.779439
2,edit_distance_knn,1.0,0.903244,0.800946,0.888683
2,cycle_knn,0.4,1.000000,0.933854,0.999854
2,mutual_knn,0.4,0.922990,0.619483,0.905185
2,lcs_knn,0.4,1.885951,1.003366,1.797366
2,cka,0.4,0.891603,0.969890,0.930252
2,unbiased_cka,0.4,0.890938,0.969781,0.929740
2,cknna,0.4,0.925633,0.638103,0.916600
2,svcca,0.4,0.701896,0.800569,0.799076
2,edit_distance_knn,0.4,0.903098,0.800512,0.891912
2,cycle_knn,0.8,0.999951,0.934780,0.999707
2,mutual_knn,0.8,0.919595,0.624624,0.896634
2,lcs_knn,0.8,1.857561,1.004829,1.756537
2,cka,0.8,0.897524,0.971649,0.925257
2,unbiased_cka,0.8,0.896945,0.971542,0.924703
2,cknna,0.8,0.923020,0.643416,0.910421
2,svcca,0.8,0.697833,0.816251,0.802858
2,edit_distance_knn,0.8,0.899024,0.800341,0.886444
2,cycle_knn,0.0,1.000000,0.934244,0.999902
2,mutual_knn,0.0,0.922273,0.623073,0.904024
2,lcs_knn,0.0,1.878927,1.007024,1.776146
2,cka,0.0,0.899576,0.970745,0.929052
2,unbiased_cka,0.0,0.898962,0.970638,0.928367
2,cknna,0.0,0.924808,0.643141,0.914373
2,svcca,0.0,0.689784,0.803145,0.788342
2,edit_distance_knn,0.0,0.902156,0.800898,0.889034
3,cycle_knn,0.6,1.000000,0.934585,0.999902
3,mutual_knn,0.6,0.921932,0.626468,0.903346
3,lcs_knn,0.6,1.886195,1.018585,1.801415
3,cka,0.6,0.891052,0.972534,0.925469
3,unbiased_cka,0.6,0.890410,0.972430,0.924999
3,cknna,0.6,0.924787,0.642799,0.914644
3,svcca,0.6,0.700430,0.781297,0.764140
3,edit_distance_knn,0.6,0.903210,0.801815,0.892298
3,cycle_knn,0.2,0.999951,0.931805,0.999951
3,mutual_knn,0.2,0.920239,0.625102,0.901073
3,lcs_knn,0.2,1.873561,1.003366,1.783805
3,cka,0.2,0.894544,0.972253,0.934828
3,unbiased_cka,0.2,0.893965,0.972146,0.934338
3,cknna,0.2,0.924335,0.643629,0.912097
3,svcca,0.2,0.697645,0.801619,0.804166
3,edit_distance_knn,0.2,0.901127,0.800941,0.890317
3,cycle_knn,1.0,0.999902,0.932537,0.999951
3,mutual_knn,1.0,0.921600,0.626858,0.897727
3,lcs_knn,1.0,1.886634,1.014390,1.777512
3,cka,1.0,0.894186,0.972371,0.927203
3,unbiased_cka,1.0,0.893464,0.972263,0.926583
