seed,partition,model,acc
0,partition1,shape,0.997313
0,partition1,digit,0.998687
0,partition2,shape_digit,0.996112
0,partition2,shape_color,0.996700
0,partition2,digit_color,0.998525
0,partition3,all0,0.995563
0,partition3,all1,0.995550
1,partition1,shape,0.996975
1,partition1,digit,0.998812
1,partition2,shape_digit,0.996075
1,partition2,shape_color,0.996250
1,partition2,digit_color,0.998413
1,partition3,all0,0.995162
1,partition3,all1,0.995525
2,partition1,shape,0.996850
2,partition1,digit,0.998950
2,partition2,shape_digit,0.995812
2,partition2,shape_color,0.995700
2,partition2,digit_color,0.998812
2,partition3,all0,0.995050
2,partition3,all1,0.995050
3,partition1,shape,0.997012
3,partition1,digit,0.999350
3,partition2,shape_digit,0.995962
3,partition2,shape_color,0.996062
3,partition2,digit_color,0.998687
3,partition3,all0,0.995363
3,partition3,all1,0.995275
