seed,metric,partition,model0,model1,partition_metric
2,lcs_knn,partition2,shape_color,digit_color,0.071336
2,cka,partition2,shape_color,digit_color,0.090863
2,unbiased_cka,partition2,shape_color,digit_color,0.087575
2,cknna,partition2,shape_color,digit_color,0.029120
2,svcca,partition2,shape_color,digit_color,0.077503
2,edit_distance_knn,partition2,shape_color,digit_color,0.751232
2,cycle_knn,partition3,all0,all1,0.915225
2,mutual_knn,partition3,all0,all1,0.720345
2,lcs_knn,partition3,all0,all1,1.069615
2,cka,partition3,all0,all1,0.698375
2,unbiased_cka,partition3,all0,all1,0.694051
2,cknna,partition3,all0,all1,0.673039
2,svcca,partition3,all0,all1,0.228537
2,edit_distance_knn,partition3,all0,all1,0.801609
3,cycle_knn,partition1,shape,digit,0.087612
3,mutual_knn,partition1,shape,digit,0.009798
3,lcs_knn,partition1,shape,digit,0.023763
3,cka,partition1,shape,digit,0.000683
3,unbiased_cka,partition1,shape,digit,0.000285
3,cknna,partition1,shape,digit,0.009292
3,svcca,partition1,shape,digit,0.022741
3,edit_distance_knn,partition1,shape,digit,0.750549
3,cycle_knn,partition2,shape_digit,shape_color,0.356864
3,mutual_knn,partition2,shape_digit,shape_color,0.057454
3,lcs_knn,partition2,shape_digit,shape_color,0.132394
3,cka,partition2,shape_digit,shape_color,0.133231
3,unbiased_cka,partition2,shape_digit,shape_color,0.130284
3,cknna,partition2,shape_digit,shape_color,0.054262
3,svcca,partition2,shape_digit,shape_color,0.153270
3,edit_distance_knn,partition2,shape_digit,shape_color,0.752348
3,cycle_knn,partition2,shape_digit,digit_color,0.322917
3,mutual_knn,partition2,shape_digit,digit_color,0.050465
3,lcs_knn,partition2,shape_digit,digit_color,0.115141
3,cka,partition2,shape_digit,digit_color,0.155128
3,unbiased_cka,partition2,shape_digit,digit_color,0.151952
3,cknna,partition2,shape_digit,digit_color,0.050880
3,svcca,partition2,shape_digit,digit_color,0.191684
3,edit_distance_knn,partition2,shape_digit,digit_color,0.752288
3,cycle_knn,partition2,shape_color,digit_color,0.245350
3,mutual_knn,partition2,shape_color,digit_color,0.031915
3,lcs_knn,partition2,shape_color,digit_color,0.073382
3,cka,partition2,shape_color,digit_color,0.099791
3,unbiased_cka,partition2,shape_color,digit_color,0.096506
3,cknna,partition2,shape_color,digit_color,0.029725
3,svcca,partition2,shape_color,digit_color,0.080166
3,edit_distance_knn,partition2,shape_color,digit_color,0.751186
3,cycle_knn,partition3,all0,all1,0.912574
3,mutual_knn,partition3,all0,all1,0.720675
3,lcs_knn,partition3,all0,all1,1.074358
3,cka,partition3,all0,all1,0.701618
3,unbiased_cka,partition3,all0,all1,0.697342
3,cknna,partition3,all0,all1,0.669169
3,svcca,partition3,all0,all1,0.235037
3,edit_distance_knn,partition3,all0,all1,0.801883
