seed,partition,model,acc
0,partition1,shape,0.997088
0,partition1,digit,0.999000
0,partition2,shape_digit,0.995275
0,partition2,shape_color,0.996762
0,partition2,digit_color,0.998713
0,partition3,all0,0.995200
0,partition3,all1,0.994563
1,partition1,shape,0.997038
1,partition1,digit,0.998838
1,partition2,shape_digit,0.995513
1,partition2,shape_color,0.996625
1,partition2,digit_color,0.998363
1,partition3,all0,0.995263
1,partition3,all1,0.994450
2,partition1,shape,0.997088
2,partition1,digit,0.998862
2,partition2,shape_digit,0.995363
2,partition2,shape_color,0.996275
2,partition2,digit_color,0.998750
2,partition3,all0,0.994950
2,partition3,all1,0.995100
3,partition1,shape,0.997162
3,partition1,digit,0.998938
3,partition2,shape_digit,0.995387
3,partition2,shape_color,0.996487
3,partition2,digit_color,0.998838
3,partition3,all0,0.995250
3,partition3,all1,0.994487
