seed,metric,partition,model0,model1,partition_metric
2,lcs_knn,partition2,shape_color,digit_color,0.059105
2,cka,partition2,shape_color,digit_color,0.109864
2,unbiased_cka,partition2,shape_color,digit_color,0.106688
2,cknna,partition2,shape_color,digit_color,0.021838
2,svcca,partition2,shape_color,digit_color,0.115254
2,edit_distance_knn,partition2,shape_color,digit_color,0.750944
2,cycle_knn,partition3,all0,all1,0.917922
2,mutual_knn,partition3,all0,all1,0.697726
2,lcs_knn,partition3,all0,all1,1.017811
2,cka,partition3,all0,all1,0.547117
2,unbiased_cka,partition3,all0,all1,0.542408
2,cknna,partition3,all0,all1,0.637286
2,svcca,partition3,all0,all1,0.214603
2,edit_distance_knn,partition3,all0,all1,0.796326
3,cycle_knn,partition1,shape,digit,0.079846
3,mutual_knn,partition1,shape,digit,0.008966
3,lcs_knn,partition1,shape,digit,0.021298
3,cka,partition1,shape,digit,0.000507
3,unbiased_cka,partition1,shape,digit,0.000117
3,cknna,partition1,shape,digit,0.008457
3,svcca,partition1,shape,digit,0.021756
3,edit_distance_knn,partition1,shape,digit,0.750456
3,cycle_knn,partition2,shape_digit,shape_color,0.281715
3,mutual_knn,partition2,shape_digit,shape_color,0.041592
3,lcs_knn,partition2,shape_digit,shape_color,0.097563
3,cka,partition2,shape_digit,shape_color,0.148943
3,unbiased_cka,partition2,shape_digit,shape_color,0.146115
3,cknna,partition2,shape_digit,shape_color,0.037988
3,svcca,partition2,shape_digit,shape_color,0.184705
3,edit_distance_knn,partition2,shape_digit,shape_color,0.751595
3,cycle_knn,partition2,shape_digit,digit_color,0.268601
3,mutual_knn,partition2,shape_digit,digit_color,0.039816
3,lcs_knn,partition2,shape_digit,digit_color,0.094076
3,cka,partition2,shape_digit,digit_color,0.193039
3,unbiased_cka,partition2,shape_digit,digit_color,0.190081
3,cknna,partition2,shape_digit,digit_color,0.039390
3,svcca,partition2,shape_digit,digit_color,0.273353
3,edit_distance_knn,partition2,shape_digit,digit_color,0.751683
3,cycle_knn,partition2,shape_color,digit_color,0.206380
3,mutual_knn,partition2,shape_color,digit_color,0.025693
3,lcs_knn,partition2,shape_color,digit_color,0.060082
3,cka,partition2,shape_color,digit_color,0.106770
3,unbiased_cka,partition2,shape_color,digit_color,0.103603
3,cknna,partition2,shape_color,digit_color,0.023118
3,svcca,partition2,shape_color,digit_color,0.112948
3,edit_distance_knn,partition2,shape_color,digit_color,0.750921
3,cycle_knn,partition3,all0,all1,0.910575
3,mutual_knn,partition3,all0,all1,0.702274
3,lcs_knn,partition3,all0,all1,1.021949
3,cka,partition3,all0,all1,0.553932
3,unbiased_cka,partition3,all0,all1,0.549302
3,cknna,partition3,all0,all1,0.647589
3,svcca,partition3,all0,all1,0.196509
3,edit_distance_knn,partition3,all0,all1,0.796368
