seed,metric,partition,model0,model1,partition_metric
2,lcs_knn,partition2,shape_color,digit_color,0.042922
2,cka,partition2,shape_color,digit_color,0.096466
2,unbiased_cka,partition2,shape_color,digit_color,0.093577
2,cknna,partition2,shape_color,digit_color,0.014141
2,svcca,partition2,shape_color,digit_color,0.105257
2,edit_distance_knn,partition2,shape_color,digit_color,0.750535
2,cycle_knn,partition3,all0,all1,0.890811
2,mutual_knn,partition3,all0,all1,0.625116
2,lcs_knn,partition3,all0,all1,0.888486
2,cka,partition3,all0,all1,0.847053
2,unbiased_cka,partition3,all0,all1,0.845795
2,cknna,partition3,all0,all1,0.523645
2,svcca,partition3,all0,all1,0.582164
2,edit_distance_knn,partition3,all0,all1,0.783324
3,cycle_knn,partition1,shape,digit,0.035156
3,mutual_knn,partition1,shape,digit,0.003599
3,lcs_knn,partition1,shape,digit,0.009068
3,cka,partition1,shape,digit,0.000411
3,unbiased_cka,partition1,shape,digit,0.000033
3,cknna,partition1,shape,digit,0.003778
3,svcca,partition1,shape,digit,0.033230
3,edit_distance_knn,partition1,shape,digit,0.750298
3,cycle_knn,partition2,shape_digit,shape_color,0.172340
3,mutual_knn,partition2,shape_digit,shape_color,0.022191
3,lcs_knn,partition2,shape_digit,shape_color,0.051525
3,cka,partition2,shape_digit,shape_color,0.290365
3,unbiased_cka,partition2,shape_digit,shape_color,0.288232
3,cknna,partition2,shape_digit,shape_color,0.019144
3,svcca,partition2,shape_digit,shape_color,0.413216
3,edit_distance_knn,partition2,shape_digit,shape_color,0.750828
3,cycle_knn,partition2,shape_digit,digit_color,0.172061
3,mutual_knn,partition2,shape_digit,digit_color,0.021940
3,lcs_knn,partition2,shape_digit,digit_color,0.051944
3,cka,partition2,shape_digit,digit_color,0.228939
3,unbiased_cka,partition2,shape_digit,digit_color,0.226221
3,cknna,partition2,shape_digit,digit_color,0.019839
3,svcca,partition2,shape_digit,digit_color,0.277497
3,edit_distance_knn,partition2,shape_digit,digit_color,0.750739
3,cycle_knn,partition2,shape_color,digit_color,0.141555
3,mutual_knn,partition2,shape_color,digit_color,0.016439
3,lcs_knn,partition2,shape_color,digit_color,0.038225
3,cka,partition2,shape_color,digit_color,0.092081
3,unbiased_cka,partition2,shape_color,digit_color,0.089188
3,cknna,partition2,shape_color,digit_color,0.013576
3,svcca,partition2,shape_color,digit_color,0.108029
3,edit_distance_knn,partition2,shape_color,digit_color,0.750507
3,cycle_knn,partition3,all0,all1,0.879371
3,mutual_knn,partition3,all0,all1,0.637137
3,lcs_knn,partition3,all0,all1,0.905738
3,cka,partition3,all0,all1,0.847363
3,unbiased_cka,partition3,all0,all1,0.846111
3,cknna,partition3,all0,all1,0.535882
3,svcca,partition3,all0,all1,0.565759
3,edit_distance_knn,partition3,all0,all1,0.785393
