seed,metric,frac_overlap,metric_cifar100,metric_tinyimagenet,metric_cifar10
0,cycle_knn,0.0,0.832700,0.937100,0.769800
0,mutual_knn,0.0,0.336740,0.555570,0.272360
0,lcs_knn,0.0,0.554300,0.838800,0.465900
0,cka,0.0,0.876278,0.915517,0.908954
0,unbiased_cka,0.0,0.875448,0.914288,0.908531
0,cknna,0.0,0.324667,0.537347,0.249921
0,svcca,0.0,0.741545,0.744534,0.725113
0,edit_distance_knn,0.0,0.766590,0.784430,0.762220
0,cycle_knn,0.2,0.848300,0.937200,0.776900
0,mutual_knn,0.2,0.353010,0.570630,0.278940
0,lcs_knn,0.2,0.570900,0.875300,0.482400
0,cka,0.2,0.882396,0.922185,0.909829
0,unbiased_cka,0.2,0.881576,0.921030,0.909399
0,cknna,0.2,0.342971,0.555134,0.257023
0,svcca,0.2,0.748168,0.768459,0.754839
0,edit_distance_knn,0.2,0.767640,0.786870,0.762840
0,cycle_knn,0.6,0.867400,0.945200,0.802700
0,mutual_knn,0.6,0.386070,0.597920,0.318780
0,lcs_knn,0.6,0.628500,0.900800,0.533300
0,cka,0.6,0.902662,0.932659,0.927204
0,unbiased_cka,0.6,0.901966,0.931635,0.926839
0,cknna,0.6,0.374784,0.582165,0.295700
0,svcca,0.6,0.818591,0.739792,0.769766
0,edit_distance_knn,0.6,0.770450,0.788350,0.765410
0,cycle_knn,0.4,0.855500,0.940300,0.795700
0,mutual_knn,0.4,0.363530,0.584530,0.293860
0,lcs_knn,0.4,0.594200,0.887700,0.493200
0,cka,0.4,0.886045,0.927821,0.915234
0,unbiased_cka,0.4,0.885243,0.926733,0.914822
0,cknna,0.4,0.358204,0.566470,0.274756
0,svcca,0.4,0.791800,0.743985,0.762671
0,edit_distance_knn,0.4,0.768980,0.788090,0.763690
0,cycle_knn,1.0,0.889500,0.953100,0.833800
0,mutual_knn,1.0,0.424020,0.639140,0.358940
0,lcs_knn,1.0,0.675900,0.975000,0.586900
0,cka,1.0,0.919367,0.947038,0.941427
0,unbiased_cka,1.0,0.918755,0.946173,0.941108
0,cknna,1.0,0.409784,0.623625,0.332295
0,svcca,1.0,0.780210,0.743090,0.779464
0,edit_distance_knn,1.0,0.773270,0.795750,0.767830
0,cycle_knn,0.8,0.866700,0.949900,0.813500
0,mutual_knn,0.8,0.386400,0.619750,0.320430
