seed,frac_overlap,model_idx,acc
0,0.8,1,0.8163
0,0.8,2,0.8178
0,0.0,1,0.8128
0,0.0,2,0.8225
0,0.2,1,0.8111
0,0.2,2,0.8167
0,0.6,1,0.8131
0,0.6,2,0.8172
0,1.0,1,0.8129
0,1.0,2,0.8147
0,0.4,1,0.8143
0,0.4,2,0.8193
1,0.0,1,0.816
1,0.0,2,0.8127
1,0.2,1,0.8162
1,0.2,2,0.8181
1,0.8,1,0.8212
1,0.8,2,0.8159
1,0.4,1,0.8156
1,0.4,2,0.813
1,1.0,1,0.8201
1,1.0,2,0.8137
1,0.6,1,0.8163
1,0.6,2,0.8108
2,1.0,1,0.8134
2,1.0,2,0.8116
2,0.4,1,0.8151
2,0.4,2,0.8166
2,0.6,1,0.8151
2,0.6,2,0.8168
2,0.0,1,0.8158
2,0.0,2,0.8181
2,0.8,1,0.8144
2,0.8,2,0.8152
2,0.2,1,0.8141
2,0.2,2,0.8129
3,0.6,1,0.8166
3,0.6,2,0.8132
3,0.8,1,0.8149
3,0.8,2,0.8124
3,1.0,1,0.8172
3,1.0,2,0.8178
3,0.2,1,0.8167
3,0.2,2,0.8173
3,0.4,1,0.818
3,0.4,2,0.8187
3,0.0,1,0.8181
3,0.0,2,0.8147
