seed,frac_overlap,normal_asr,transfer_asr
0,0.0,0.706,0.444
0,0.2,0.752,0.498
0,0.6,0.72,0.488
0,0.4,0.684,0.446
0,1.0,0.708,0.508
0,0.8,0.73,0.482
1,0.0,0.73,0.472
1,0.2,0.722,0.474
1,0.6,0.746,0.56
1,0.4,0.716,0.51
1,1.0,0.724,0.542
1,0.8,0.682,0.518
2,1.0,0.686,0.486
2,0.0,0.722,0.428
2,0.6,0.702,0.5
2,0.8,0.686,0.494
2,0.4,0.718,0.506
2,0.2,0.68,0.414
3,0.2,0.732,0.518
3,0.0,0.736,0.486
3,0.4,0.71,0.472
3,1.0,0.71,0.528
3,0.6,0.706,0.47
3,0.8,0.7,0.51
