seed,frac_overlap,normal_asr,transfer_asr
0,0.2,0.658,0.376
0,1.0,0.688,0.388
0,0.0,0.676,0.336
0,0.8,0.652,0.382
0,0.6,0.692,0.414
0,0.4,0.698,0.376
1,0.6,0.702,0.428
1,0.4,0.67,0.386
1,1.0,0.678,0.436
1,0.8,0.682,0.416
1,0.2,0.664,0.366
1,0.0,0.702,0.396
2,0.8,0.668,0.398
2,0.2,0.652,0.368
2,0.4,0.684,0.416
2,1.0,0.67,0.43
2,0.6,0.65,0.39
2,0.0,0.696,0.396
3,1.0,0.686,0.412
3,0.8,0.664,0.388
3,0.2,0.664,0.346
3,0.4,0.706,0.42
3,0.0,0.688,0.386
3,0.6,0.684,0.382
