seed,frac_overlap,normal_asr,transfer_asr
0,0.8,0.482,0.244
0,1.0,0.49,0.264
0,0.4,0.476,0.246
0,0.0,0.454,0.232
0,0.6,0.468,0.252
0,0.2,0.49,0.248
1,0.8,0.532,0.266
1,0.2,0.508,0.268
1,0.4,0.506,0.268
1,0.6,0.498,0.26
1,0.0,0.468,0.212
1,1.0,0.484,0.32
2,0.6,0.514,0.296
2,0.4,0.464,0.232
2,0.0,0.5,0.266
2,0.2,0.5,0.264
2,0.8,0.5,0.314
2,1.0,0.498,0.278
3,0.8,0.474,0.268
3,0.6,0.48,0.262
3,0.4,0.476,0.284
3,0.2,0.472,0.264
3,0.0,0.476,0.248
3,1.0,0.482,0.274
