seed,frac_overlap,normal_asr,transfer_asr
0,0.2,0.872,0.7
0,0.4,0.876,0.656
0,0.8,0.886,0.728
0,0.0,0.868,0.682
0,0.6,0.894,0.742
0,1.0,0.864,0.726
1,0.8,0.902,0.72
1,0.6,0.91,0.758
1,0.2,0.89,0.71
1,0.0,0.904,0.696
1,0.4,0.892,0.712
1,1.0,0.904,0.764
2,0.8,0.88,0.746
2,1.0,0.916,0.75
2,0.4,0.906,0.758
2,0.2,0.872,0.7
2,0.0,0.888,0.67
2,0.6,0.87,0.728
3,0.6,0.876,0.726
3,0.4,0.864,0.698
3,1.0,0.906,0.766
3,0.8,0.856,0.672
3,0.2,0.874,0.678
3,0.0,0.9,0.698
