seed,frac_overlap,normal_asr,transfer_asr
0,0.8,0.902,0.664
0,0.4,0.88,0.62
0,0.2,0.904,0.584
0,0.0,0.912,0.628
0,1.0,0.908,0.68
0,0.6,0.888,0.642
1,0.4,0.904,0.584
1,0.2,0.93,0.648
1,0.0,0.896,0.576
1,1.0,0.896,0.598
1,0.6,0.908,0.6
1,0.8,0.902,0.654
2,0.2,0.898,0.57
2,1.0,0.892,0.634
2,0.0,0.912,0.584
2,0.6,0.9,0.628
2,0.8,0.908,0.638
2,0.4,0.914,0.606
3,0.0,0.912,0.584
3,0.8,0.896,0.652
3,0.2,0.892,0.564
3,0.6,0.9,0.6
3,1.0,0.882,0.638
3,0.4,0.898,0.572
