seed,frac_overlap,normal_asr,transfer_asr
0,0.2,0.52,0.254
0,1.0,0.556,0.294
0,0.0,0.54,0.296
0,0.4,0.586,0.3
0,0.8,0.546,0.276
0,0.6,0.58,0.322
1,0.4,0.54,0.278
1,0.8,0.548,0.29
1,0.6,0.584,0.298
1,1.0,0.544,0.288
1,0.0,0.594,0.284
1,0.2,0.536,0.288
2,0.4,0.57,0.302
2,0.0,0.574,0.262
2,0.8,0.576,0.308
2,0.6,0.532,0.306
2,1.0,0.576,0.294
2,0.2,0.528,0.254
3,0.4,0.552,0.29
3,0.0,0.57,0.286
3,1.0,0.538,0.28
3,0.6,0.532,0.276
3,0.2,0.584,0.278
3,0.8,0.56,0.282
