seed,metric,frac_overlap,metric_cifar100,metric_tinyimagenet,metric_cifar10
2,cknna,0.8,0.416105,0.367031,0.212707
2,svcca,0.8,0.392437,0.645509,0.698323
2,edit_distance_knn,0.8,0.773940,0.767170,0.759550
2,cycle_knn,1.0,0.653100,0.557400,0.569000
2,mutual_knn,1.0,0.457170,0.330190,0.225140
2,lcs_knn,1.0,0.704700,0.537300,0.389500
2,cka,1.0,0.844231,0.694383,0.818970
2,unbiased_cka,1.0,0.842609,0.691036,0.818143
2,cknna,1.0,0.436884,0.383344,0.227346
2,svcca,1.0,0.403105,0.610072,0.705303
2,edit_distance_knn,1.0,0.776010,0.768380,0.760780
2,cycle_knn,0.0,0.639700,0.532100,0.543900
2,mutual_knn,0.0,0.399440,0.278830,0.187320
2,lcs_knn,0.0,0.628800,0.455600,0.329200
2,cka,0.0,0.816862,0.643489,0.782999
2,unbiased_cka,0.0,0.814981,0.639651,0.782037
2,cknna,0.0,0.377378,0.330335,0.187231
2,svcca,0.0,0.372570,0.578454,0.734047
2,edit_distance_knn,0.0,0.771380,0.764850,0.758690
2,cycle_knn,0.2,0.643100,0.548600,0.550800
2,mutual_knn,0.2,0.409360,0.291140,0.199860
2,lcs_knn,0.2,0.642800,0.458500,0.356300
2,cka,0.2,0.821295,0.656583,0.798052
2,unbiased_cka,0.2,0.819459,0.652830,0.797144
2,cknna,0.2,0.385884,0.343621,0.202961
2,svcca,0.2,0.389536,0.584920,0.728894
2,edit_distance_knn,0.2,0.771860,0.764940,0.759470
2,cycle_knn,0.6,0.650300,0.543400,0.559900
2,mutual_knn,0.6,0.429820,0.301340,0.205610
2,lcs_knn,0.6,0.682900,0.484000,0.354800
2,cka,0.6,0.834265,0.676710,0.808254
2,unbiased_cka,0.6,0.832555,0.673247,0.807406
2,cknna,0.6,0.398481,0.354419,0.203335
2,svcca,0.6,0.374382,0.593833,0.692786
2,edit_distance_knn,0.6,0.774290,0.766030,0.759650
2,cycle_knn,0.4,0.641900,0.550600,0.553500
2,mutual_knn,0.4,0.423910,0.306850,0.206010
2,lcs_knn,0.4,0.666300,0.489000,0.365800
2,cka,0.4,0.828700,0.665163,0.788921
2,unbiased_cka,0.4,0.826944,0.661565,0.787984
2,cknna,0.4,0.399451,0.359489,0.209037
2,svcca,0.4,0.409675,0.557194,0.712888
2,edit_distance_knn,0.4,0.773610,0.765880,0.759570
3,cycle_knn,1.0,0.655600,0.558200,0.574900
3,mutual_knn,1.0,0.453120,0.325660,0.223050
3,lcs_knn,1.0,0.704800,0.512500,0.393500
3,cka,1.0,0.839874,0.693742,0.822119
3,unbiased_cka,1.0,0.838230,0.690488,0.821360
3,cknna,1.0,0.435891,0.383565,0.218927
3,svcca,1.0,0.461539,0.611814,0.742248
3,edit_distance_knn,1.0,0.775910,0.766880,0.760680
3,cycle_knn,0.0,0.639000,0.521500,0.543500
3,mutual_knn,0.0,0.402770,0.281150,0.193460
3,lcs_knn,0.0,0.630400,0.449500,0.339500
3,cka,0.0,0.813323,0.642737,0.803064
3,unbiased_cka,0.0,0.811422,0.638959,0.802264
3,cknna,0.0,0.377553,0.328906,0.191509
3,svcca,0.0,0.406493,0.575836,0.684597
3,edit_distance_knn,0.0,0.770840,0.764020,0.758760
3,cycle_knn,0.6,0.642400,0.545400,0.560800
3,mutual_knn,0.6,0.426030,0.304550,0.210010
3,lcs_knn,0.6,0.668700,0.490400,0.374000
3,cka,0.6,0.829329,0.673485,0.814132
3,unbiased_cka,0.6,0.827578,0.669893,0.813315
3,cknna,0.6,0.402238,0.355919,0.210626
3,svcca,0.6,0.394191,0.594596,0.745223
3,edit_distance_knn,0.6,0.773320,0.765880,0.760080
3,cycle_knn,0.2,0.637300,0.530500,0.533000
3,mutual_knn,0.2,0.403090,0.288000,0.190900
3,lcs_knn,0.2,0.638100,0.467600,0.341100
3,cka,0.2,0.816497,0.649858,0.799017
3,unbiased_cka,0.2,0.814619,0.645914,0.798145
3,cknna,0.2,0.381588,0.337728,0.193581
3,svcca,0.2,0.393499,0.591052,0.721925
3,edit_distance_knn,0.2,0.771630,0.764630,0.759120
3,cycle_knn,0.4,0.647700,0.536700,0.549200
3,mutual_knn,0.4,0.421960,0.295770,0.206520
3,lcs_knn,0.4,0.669300,0.469400,0.365400
3,cka,0.4,0.824655,0.666007,0.811358
3,unbiased_cka,0.4,0.822869,0.662425,0.810523
3,cknna,0.4,0.398695,0.348588,0.208356
3,svcca,0.4,0.427344,0.576585,0.697551
3,edit_distance_knn,0.4,0.773790,0.764630,0.759940
3,cycle_knn,0.8,0.661100,0.557100,0.573600
3,mutual_knn,0.8,0.443670,0.316790,0.219740
3,lcs_knn,0.8,0.698300,0.497400,0.391100
3,cka,0.8,0.835142,0.686467,0.820638
3,unbiased_cka,0.8,0.833448,0.683045,0.819863
3,cknna,0.8,0.425765,0.365607,0.223090
3,svcca,0.8,0.395973,0.606934,0.759986
3,edit_distance_knn,0.8,0.775800,0.766420,0.761010
