seed,metric,frac_overlap,metric_cifar100,metric_tinyimagenet,metric_cifar10
2,cknna,0.4,0.488765,0.479766,0.335606
2,svcca,0.4,0.549945,0.629554,0.761379
2,edit_distance_knn,0.4,0.780800,0.774110,0.767960
2,cycle_knn,0.0,0.684500,0.727400,0.681400
2,mutual_knn,0.0,0.490540,0.418000,0.322900
2,lcs_knn,0.0,0.762800,0.655600,0.528000
2,cka,0.0,0.820486,0.706458,0.857373
2,unbiased_cka,0.0,0.818071,0.701211,0.856348
2,cknna,0.0,0.469179,0.476137,0.319454
2,svcca,0.0,0.536558,0.607711,0.775689
2,edit_distance_knn,0.0,0.779140,0.774380,0.766460
2,cycle_knn,0.8,0.684300,0.745200,0.704500
2,mutual_knn,0.8,0.521220,0.444340,0.348080
2,lcs_knn,0.8,0.803400,0.692500,0.565700
2,cka,0.8,0.833665,0.725983,0.865304
2,unbiased_cka,0.8,0.831392,0.720853,0.864308
2,cknna,0.8,0.505995,0.504130,0.341265
2,svcca,0.8,0.543284,0.637713,0.769985
2,edit_distance_knn,0.8,0.782110,0.776480,0.768000
2,cycle_knn,0.2,0.688500,0.738300,0.699200
2,mutual_knn,0.2,0.498000,0.431850,0.327490
2,lcs_knn,0.2,0.759000,0.686900,0.538800
2,cka,0.2,0.821907,0.717047,0.854637
2,unbiased_cka,0.2,0.819482,0.711883,0.853572
2,cknna,0.2,0.476735,0.487292,0.329071
2,svcca,0.2,0.553500,0.621415,0.801461
2,edit_distance_knn,0.2,0.779240,0.775770,0.766630
2,cycle_knn,1.0,0.685900,0.747600,0.716400
2,mutual_knn,1.0,0.530330,0.457870,0.355380
2,lcs_knn,1.0,0.816600,0.724700,0.593800
2,cka,1.0,0.837189,0.730911,0.868449
2,unbiased_cka,1.0,0.834960,0.725845,0.867499
2,cknna,1.0,0.514046,0.519438,0.353771
2,svcca,1.0,0.561414,0.602711,0.767094
2,edit_distance_knn,1.0,0.782840,0.778640,0.769650
2,cycle_knn,0.6,0.688900,0.738200,0.701600
2,mutual_knn,0.6,0.508510,0.436880,0.336440
2,lcs_knn,0.6,0.791200,0.689400,0.554200
2,cka,0.6,0.827895,0.723752,0.861705
2,unbiased_cka,0.6,0.825537,0.718645,0.860716
2,cknna,0.6,0.486495,0.495292,0.335328
2,svcca,0.6,0.552709,0.628246,0.771667
2,edit_distance_knn,0.6,0.780590,0.776320,0.767360
3,cycle_knn,0.4,0.678000,0.743500,0.698300
3,mutual_knn,0.4,0.501530,0.431720,0.338750
3,lcs_knn,0.4,0.771900,0.673000,0.567700
3,cka,0.4,0.829768,0.721142,0.860684
3,unbiased_cka,0.4,0.827473,0.715952,0.859623
3,cknna,0.4,0.487276,0.485734,0.342371
3,svcca,0.4,0.580146,0.659057,0.788866
3,edit_distance_knn,0.4,0.779930,0.775140,0.768130
3,cycle_knn,0.0,0.681100,0.740600,0.693400
3,mutual_knn,0.0,0.489570,0.425850,0.327670
3,lcs_knn,0.0,0.755000,0.671500,0.544600
3,cka,0.0,0.828388,0.714143,0.857069
3,unbiased_cka,0.0,0.826074,0.708893,0.855999
3,cknna,0.0,0.470282,0.483079,0.327990
3,svcca,0.0,0.568019,0.626836,0.732060
3,edit_distance_knn,0.0,0.778380,0.775230,0.766880
3,cycle_knn,1.0,0.682700,0.756500,0.700000
3,mutual_knn,1.0,0.531200,0.452270,0.360120
3,lcs_knn,1.0,0.818600,0.705200,0.595400
3,cka,1.0,0.841786,0.739612,0.869901
3,unbiased_cka,1.0,0.839642,0.734849,0.868938
3,cknna,1.0,0.515698,0.510037,0.359435
3,svcca,1.0,0.587856,0.634089,0.749614
3,edit_distance_knn,1.0,0.783420,0.776990,0.770130
3,cycle_knn,0.2,0.681500,0.739000,0.693000
3,mutual_knn,0.2,0.495360,0.421390,0.326270
3,lcs_knn,0.2,0.772100,0.668700,0.542900
3,cka,0.2,0.828165,0.715297,0.853796
3,unbiased_cka,0.2,0.825851,0.710177,0.852722
3,cknna,0.2,0.478420,0.475386,0.321952
3,svcca,0.2,0.522844,0.628618,0.734853
3,edit_distance_knn,0.2,0.780300,0.775160,0.766650
3,cycle_knn,0.6,0.686000,0.740900,0.685700
3,mutual_knn,0.6,0.516250,0.430320,0.339410
3,lcs_knn,0.6,0.799500,0.684000,0.562100
3,cka,0.6,0.836041,0.725316,0.860885
3,unbiased_cka,0.6,0.833815,0.720352,0.859896
3,cknna,0.6,0.500247,0.486813,0.337817
3,svcca,0.6,0.543251,0.629699,0.815555
3,edit_distance_knn,0.6,0.782070,0.775610,0.767300
3,cycle_knn,0.8,0.688300,0.754100,0.702700
3,mutual_knn,0.8,0.525620,0.456330,0.350700
3,lcs_knn,0.8,0.805700,0.728200,0.586900
3,cka,0.8,0.838970,0.742616,0.874845
3,unbiased_cka,0.8,0.836788,0.737902,0.873931
3,cknna,0.8,0.506674,0.514979,0.346867
3,svcca,0.8,0.550342,0.620896,0.756094
3,edit_distance_knn,0.8,0.781980,0.779030,0.769340
